lemma	word form	sentence	doc index	sent index	token index	tokenized sentence	is_randomized
eat	eats	Fermentation is when yeast eats the sugar in the juice and turns it into carbon dioxide and alcohol.	21916	5	4	('Fermentation', 'is', 'when', 'yeast', 'eats', 'the', 'sugar', 'in', 'the', 'juice', 'and', 'turns', 'it', 'into', 'carbon', 'dioxide', 'and', 'alcohol', '.')	False
eat	eat	Whether it's going to the mall and getting a bit to eat or sitting around shooting pool and trying to win stuffen animals the time i spend with my friends is the most important time in my life.	268	27	12	"('Whether', 'it', ""'s"", 'going', 'to', 'the', 'mall', 'and', 'getting', 'a', 'bit', 'to', 'eat', 'or', 'sitting', 'around', 'shooting', 'pool', 'and', 'trying', 'to', 'win', 'stuffen', 'animals', 'the', 'time', 'i', 'spend', 'with', 'my', 'friends', 'is', 'the', 'most', 'important', 'time', 'in', 'my', 'life', '.')"	False
eat	ate	im dead pag-uwi ni ate.	37507	41	7	('i', 'm', 'dead', 'pag', '-', 'uwi', 'ni', 'ate', '.')	False
earn	earn	Due to the dramatic increase in technology, business professionals now have the ability to outsource their skills and earn extra money working from home as a bankruptcy forms processor.	14403	0	19	('Due', 'to', 'the', 'dramatic', 'increase', 'in', 'technology', ',', 'business', 'professionals', 'now', 'have', 'the', 'ability', 'to', 'outsource', 'their', 'skills', 'and', 'earn', 'extra', 'money', 'working', 'from', 'home', 'as', 'a', 'bankruptcy', 'forms', 'processor', '.')	False
earn	earned	A whirlwind of a day ended at 3am last night and after a long day of the au bon pain, studio, chinese food, fixing my fonts, more studio, pluck u, saintface, many drinks, soical time with the ladies of internationalpoontang.com, a near barfight, a guy in a thong (yes he was the near barfight), a very public threesome (yes this involved the guy in the thong), and some pizza, i feel we all earned the right to sleep in this morning...	8756	0	91	('A', 'whirlwind', 'of', 'a', 'day', 'ended', 'at', '3', 'am', 'last', 'night', 'and', 'after', 'a', 'long', 'day', 'of', 'the', 'au', 'bon', 'pain', ',', 'studio', ',', 'chinese', 'food', ',', 'fixing', 'my', 'fonts', ',', 'more', 'studio', ',', 'pluck', 'u', ',', 'saintface', ',', 'many', 'drinks', ',', 'soical', 'time', 'with', 'the', 'ladies', 'of', 'internationalpoontang.com', ',', 'a', 'near', 'barfight', ',', 'a', 'guy', 'in', 'a', 'thong', '(', 'yes', 'he', 'was', 'the', 'near', 'barfight', ')', ',', 'a', 'very', 'public', 'threesome', '(', 'yes', 'this', 'involved', 'the', 'guy', 'in', 'the', 'thong', ')', ',', 'and', 'some', 'pizza', ',', 'i', 'feel', 'we', 'all', 'earned', 'the', 'right', 'to', 'sleep', 'in', 'this', 'morning', '...')	False
eat	eat	'therefore i tell you, do not worry about your life, what you will eat or drink; or about your body, what you will wear.	34673	31	16	"(""'"", 'therefore', 'i', 'tell', 'you', ',', 'do', 'not', 'worry', 'about', 'your', 'life', ',', 'what', 'you', 'will', 'eat', 'or', 'drink', ';', 'or', 'about', 'your', 'body', ',', 'what', 'you', 'will', 'wear', '.')"	False
earn	earning	It is a contrast between earning salvation by works, or it being given to man by faith.	17043	78	5	('It', 'is', 'a', 'contrast', 'between', 'earning', 'salvation', 'by', 'works', ',', 'or', 'it', 'being', 'given', 'to', 'man', 'by', 'faith', '.')	False
eat	eating	After eating i go back to sleep.	10615	10	1	('After', 'eating', 'i', 'go', 'back', 'to', 'sleep', '.')	False
earn	earning	Or you can be appreciative of material things without losing the perspective of the hard work spent in earning every single one of them.	15801	58	18	('Or', 'you', 'can', 'be', 'appreciative', 'of', 'material', 'things', 'without', 'losing', 'the', 'perspective', 'of', 'the', 'hard', 'work', 'spent', 'in', 'earning', 'every', 'single', 'one', 'of', 'them', '.')	False
eat	eat	Waiting for abby to return from her 'art of living class' so we can go home and eat food.	23491	4	19	"('Waiting', 'for', 'abby', 'to', 'return', 'from', 'her', ""'"", 'art', 'of', 'living', 'class', ""'"", 'so', 'we', 'can', 'go', 'home', 'and', 'eat', 'food', '.')"	False
earn	earn	This whole process took about 3 months, in which i was unable to earn any money and a basically play the waiting game.	15940	16	14	('This', 'whole', 'process', 'took', 'about', '3', 'months', ',', 'in', 'which', 'i', 'was', 'unable', 'to', 'earn', 'any', 'money', 'and', 'a', 'basically', 'play', 'the', 'waiting', 'game', '.')	False
earn	earn	To earn way more what i have is to work hard and smart.	19631	9	1	('To', 'earn', 'way', 'more', 'what', 'i', 'have', 'is', 'to', 'work', 'hard', 'and', 'smart', '.')	False
eat	ate	One thing that we all need to see as the horrible problem it is, and that we must rise up to stop:   it's 'your', as in 'maybe a dingo ate your baby.', and 'you're', as in 'there's a party in my pants, and you're all invited.'	15267	2	37	"('One', 'thing', 'that', 'we', 'all', 'need', 'to', 'see', 'as', 'the', 'horrible', 'problem', 'it', 'is', ',', 'and', 'that', 'we', 'must', 'rise', 'up', 'to', 'stop', ':', '  ', 'it', ""'s"", ""'"", 'your', ""'"", ',', 'as', 'in', ""'"", 'maybe', 'a', 'dingo', 'ate', 'your', 'baby', '.', ""'"", ',', 'and', ""'"", 'you', ""'re"", ""'"", ',', 'as', 'in', ""'"", 'there', ""'s"", 'a', 'party', 'in', 'my', 'pants', ',', 'and', 'you', ""'re"", 'all', 'invited', '.', ""'"")"	False
earn	earned	But i do know that clapton and his colleagues have earned this sort of reverence, not merely with talent, but through a tenacious desire marked by white knuckled perseverance in the deepest sense of meaning, each member of the audience had to come to terms with clapton and his musical glory.	16938	74	10	('But', 'i', 'do', 'know', 'that', 'clapton', 'and', 'his', 'colleagues', 'have', 'earned', 'this', 'sort', 'of', 'reverence', ',', 'not', 'merely', 'with', 'talent', ',', 'but', 'through', 'a', 'tenacious', 'desire', 'marked', 'by', 'white', 'knuckled', 'perseverance', 'in', 'the', 'deepest', 'sense', 'of', 'meaning', ',', 'each', 'member', 'of', 'the', 'audience', 'had', 'to', 'come', 'to', 'terms', 'with', 'clapton', 'and', 'his', 'musical', 'glory', '.')	False
eat	eating	We ended up eating at cafe brazil.	21045	17	3	('We', 'ended', 'up', 'eating', 'at', 'cafe', 'brazil', '.')	False
earn	earned	I'm sorry, i'd rather spend my hard-earned cash on a pencil.	6331	14	11	"('I', ""'m"", 'sorry', ',', 'i', ""'d"", 'rather', 'spend', 'my', 'hard', '-', 'earned', 'cash', 'on', 'a', 'pencil', '.')"	False
earn	earned	'blood is gender neutral, but she earned the rank of major by serving her country with honor you degenerate sack of shit,' i shouted into his characteristically vacant face, flecking it with my angry saliva.	27588	29	8	"(""'"", 'blood', 'is', 'gender', 'neutral', ',', 'but', 'she', 'earned', 'the', 'rank', 'of', 'major', 'by', 'serving', 'her', 'country', 'with', 'honor', 'you', 'degenerate', 'sack', 'of', 'shit', ',', ""'"", 'i', 'shouted', 'into', 'his', 'characteristically', 'vacant', 'face', ',', 'flecking', 'it', 'with', 'my', 'angry', 'saliva', '.')"	False
earn	earn	Do it for justice, for honor, and for the american dream: to earn money without doing any real work!	4680	46	15	('Do', 'it', 'for', 'justice', ',', 'for', 'honor', ',', 'and', 'for', 'the', 'american', 'dream', ':', 'to', 'earn', 'money', 'without', 'doing', 'any', 'real', 'work', '!')	False
eat	eat	Peanut butter is like eating sand, so corse and grainy unless you eat the crunchy kind.	35101	8	13	('Peanut', 'butter', 'is', 'like', 'eating', 'sand', ',', 'so', 'corse', 'and', 'grainy', 'unless', 'you', 'eat', 'the', 'crunchy', 'kind', '.')	False
earn	earn	However, my parents are not able to provide for me forever and sooner or later i’m going to have to leave this comfortable nest of mine and go out to earn my own money.	10495	25	32	('However', ',', 'my', 'parents', 'are', 'not', 'able', 'to', 'provide', 'for', 'me', 'forever', 'and', 'sooner', 'or', 'later', 'i', '’m', 'going', 'to', 'have', 'to', 'leave', 'this', 'comfortable', 'nest', 'of', 'mine', 'and', 'go', 'out', 'to', 'earn', 'my', 'own', 'money', '.')	False
earn	earned	urllink  msn entertainment - news - 'apprentice' star omarosa fired 4 times    -courtesy of j.tan (you have earned your way back on to the waiting list).	24108	0	22	"('urllink', ' ', 'msn', 'entertainment', '-', 'news', '-', ""'"", 'apprentice', ""'"", 'star', 'omarosa', 'fired', '4', 'times', '   ', '-courtesy', 'of', 'j.tan', '(', 'you', 'have', 'earned', 'your', 'way', 'back', 'on', 'to', 'the', 'waiting', 'list', ')', '.')"	False
eat	eating	Where are we going to get not eating carbs, aka, one of the most important molecules in your body?	10261	12	7	('Where', 'are', 'we', 'going', 'to', 'get', 'not', 'eating', 'carbs', ',', 'aka', ',', 'one', 'of', 'the', 'most', 'important', 'molecules', 'in', 'your', 'body', '?')	False
eat	eat	I take a mental note of where i have packed these, so i can eat one whilst i'm driving home.	10099	13	15	"('I', 'take', 'a', 'mental', 'note', 'of', 'where', 'i', 'have', 'packed', 'these', ',', 'so', 'i', 'can', 'eat', 'one', 'whilst', 'i', ""'m"", 'driving', 'home', '.')"	False
earn	earn	I juz wanna earn more and keep the money in my new piggy bank!	21868	9	3	('I', 'juz', 'wanna', 'earn', 'more', 'and', 'keep', 'the', 'money', 'in', 'my', 'new', 'piggy', 'bank', '!')	False
earn	earning	What if you calculated the drug company was earning $100 million per year on that one drug?	34921	13	8	('What', 'if', 'you', 'calculated', 'the', 'drug', 'company', 'was', 'earning', '$', '100', 'million', 'per', 'year', 'on', 'that', 'one', 'drug', '?')	False
eat	eat	Couldn't help it, they were going down good, and i didn't eat dinner.	33399	19	15	"('Could', ""n't"", 'help', 'it', ',', 'they', 'were', 'going', 'down', 'good', ',', 'and', 'i', 'did', ""n't"", 'eat', 'dinner', '.')"	False
eat	eating	I mean – girl is eating.	12679	2	5	('I', 'mean', '–', 'girl', 'is', 'eating', '.')	False
eat	eat	These people are well funded...i'm sure they eat well.	17853	46	9	"('These', 'people', 'are', 'well', 'funded', '...', ""i'm"", 'sure', 'they', 'eat', 'well', '.')"	False
eat	eating	I'm eating mysterious popcorn.	28110	7	2	"('I', ""'m"", 'eating', 'mysterious', 'popcorn', '.')"	False
earn	earned	Honestly, this should be the first watch you people buy with your first hard earned salary.	12370	15	15	('Honestly', ',', 'this', 'should', 'be', 'the', 'first', 'watch', 'you', 'people', 'buy', 'with', 'your', 'first', 'hard', 'earned', 'salary', '.')	False
eat	eating	Just so you don't get the wrong idea, eating nuts isn't all i do.	11947	50	10	"('Just', 'so', 'you', 'do', ""n't"", 'get', 'the', 'wrong', 'idea', ',', 'eating', 'nuts', 'is', ""n't"", 'all', 'i', 'do', '.')"	False
eat	eating	screw eating food, it is a beer diet for me for those three days.	36247	23	1	('screw', 'eating', 'food', ',', 'it', 'is', 'a', 'beer', 'diet', 'for', 'me', 'for', 'those', 'three', 'days', '.')	False
eat	eat	but it was good to be with akri then we went to eat at newport and ordered a big cake athat tasted really good	35642	5	12	('but', 'it', 'was', 'good', 'to', 'be', 'with', 'akri', 'then', 'we', 'went', 'to', 'eat', 'at', 'newport', 'and', 'ordered', 'a', 'big', 'cake', 'athat', 'tasted', 'really', 'good')	False
eat	eat	More than 100 residents of jap road and supporters of their effort to maintain its name gathered at an open-air bar on wednesday evening to drink beer, eat barbecue and ponder how to thwart their opponents.	10530	21	30	('More', 'than', '100', 'residents', 'of', 'jap', 'road', 'and', 'supporters', 'of', 'their', 'effort', 'to', 'maintain', 'its', 'name', 'gathered', 'at', 'an', 'open', '-', 'air', 'bar', 'on', 'wednesday', 'evening', 'to', 'drink', 'beer', ',', 'eat', 'barbecue', 'and', 'ponder', 'how', 'to', 'thwart', 'their', 'opponents', '.')	False
earn	earn	Although dad's girlfriend said he would double what i earn, and what she says goes.	35973	5	10	"('Although', 'dad', ""'s"", 'girlfriend', 'said', 'he', 'would', 'double', 'what', 'i', 'earn', ',', 'and', 'what', 'she', 'says', 'goes', '.')"	False
earn	earn	Time to seat down and think of more ways to earn more money.	19631	4	10	('Time', 'to', 'seat', 'down', 'and', 'think', 'of', 'more', 'ways', 'to', 'earn', 'more', 'money', '.')	False
eat	eaten	We'll have 5 people over here and get some of scene one eaten away.	31036	5	13	"('We', ""'ll"", 'have', '5', 'people', 'over', 'here', 'and', 'get', 'some', 'of', 'scene', 'one', 'eaten', 'away', '.')"	False
earn	earned	By 1623 he had earned his freedom and by 1651, was prosperous enough to import five 'servants' of his own, for which he received a grant of 250 acres as 'headrights.'  anthony johnson ought to be in a 'book of firsts.'	9805	183	4	"('By', '1623', 'he', 'had', 'earned', 'his', 'freedom', 'and', 'by', '1651', ',', 'was', 'prosperous', 'enough', 'to', 'import', 'five', ""'"", 'servants', ""'"", 'of', 'his', 'own', ',', 'for', 'which', 'he', 'received', 'a', 'grant', 'of', '250', 'acres', 'as', ""'"", 'headrights', '.', ""'"", ' ', 'anthony', 'johnson', 'ought', 'to', 'be', 'in', 'a', ""'"", 'book', 'of', 'firsts', '.', ""'"")"	False
earn	earn	So why do they earn more than you?	8378	8	4	('So', 'why', 'do', 'they', 'earn', 'more', 'than', 'you', '?')	False
eat	eat	my fren bring me there eat n go to c doctor.	32522	16	5	('my', 'fren', 'bring', 'me', 'there', 'eat', 'n', 'go', 'to', 'c', 'doctor', '.')	False
earn	earning	They have such pleasant, outgoing personalities that they are far and away the best sales reps, not only regularly winning sales contests, but earning seniority in any sales group within an organization.	18444	43	26	('They', 'have', 'such', 'pleasant', ',', 'outgoing', 'personalities', 'that', 'they', 'are', 'far', 'and', 'away', 'the', 'best', 'sales', 'reps', ',', 'not', 'only', 'regularly', 'winning', 'sales', 'contests', ',', 'but', 'earning', 'seniority', 'in', 'any', 'sales', 'group', 'within', 'an', 'organization', '.')	False
earn	earned	They march toward the kind of greatness that can only be earned by understanding the great sorrows that life affords.	12743	28	11	('They', 'march', 'toward', 'the', 'kind', 'of', 'greatness', 'that', 'can', 'only', 'be', 'earned', 'by', 'understanding', 'the', 'great', 'sorrows', 'that', 'life', 'affords', '.')	False
eat	eat	When watching mice in our experimental animal facility, i've noticed that all they ever do is... (a) eat, (b) copulate, (c) fight.	37546	3	22	"('When', 'watching', 'mice', 'in', 'our', 'experimental', 'animal', 'facility', ',', 'i', ""'ve"", 'noticed', 'that', 'all', 'they', 'ever', 'do', 'is', '...', '(', 'a', ')', 'eat', ',', '(', 'b', ')', 'copulate', ',', '(', 'c', ')', 'fight', '.')"	False
eat	ate	I went to six flags, that was fun, i went on some rides, ate a shitty burrito, and then went on this spinning thing, it was very fun.	18302	1	16	('I', 'went', 'to', 'six', 'flags', ',', 'that', 'was', 'fun', ',', 'i', 'went', 'on', 'some', 'rides', ',', 'ate', 'a', 'shitty', 'burrito', ',', 'and', 'then', 'went', 'on', 'this', 'spinning', 'thing', ',', 'it', 'was', 'very', 'fun', '.')	False
eat	eat	I had no mood to eat	20136	29	5	('I', 'had', 'no', 'mood', 'to', 'eat')	False
eat	eat	Hamem invited me over to eat, since he was cooking dinner anyhow.	24271	3	5	('Hamem', 'invited', 'me', 'over', 'to', 'eat', ',', 'since', 'he', 'was', 'cooking', 'dinner', 'anyhow', '.')	False
eat	eat	If i didn't still hurt, and i could eat solid food without puking it would have been great news.	19728	2	10	"('If', 'i', 'did', ""n't"", 'still', 'hurt', ',', 'and', 'i', 'could', 'eat', 'solid', 'food', 'without', 'puking', 'it', 'would', 'have', 'been', 'great', 'news', '.')"	False
earn	earned	I might even go as far as spending some of my hard earned cash on it.	15681	10	12	('I', 'might', 'even', 'go', 'as', 'far', 'as', 'spending', 'some', 'of', 'my', 'hard', 'earned', 'cash', 'on', 'it', '.')	False
earn	earned	the first story earned me an a- and the second story a d -- the worst grade i think i ever received all through eight zillion years of schooling, dropped classes not counted (the fact that i'm a big nerd should really not be shocking to anyone reading my  website ) -- and i can recite the comments he typed on it (in all caps) verbatim, without reaching into the drawer:  'this story represents a sharp falling off in your writing.	20623	25	3	"('the', 'first', 'story', 'earned', 'me', 'an', 'a-', 'and', 'the', 'second', 'story', 'a', 'd', '--', 'the', 'worst', 'grade', 'i', 'think', 'i', 'ever', 'received', 'all', 'through', 'eight', 'zillion', 'years', 'of', 'schooling', ',', 'dropped', 'classes', 'not', 'counted', '(', 'the', 'fact', 'that', 'i', ""'m"", 'a', 'big', 'nerd', 'should', 'really', 'not', 'be', 'shocking', 'to', 'anyone', 'reading', 'my', ' ', 'website', ')', '--', 'and', 'i', 'can', 'recite', 'the', 'comments', 'he', 'typed', 'on', 'it', '(', 'in', 'all', 'caps', ')', 'verbatim', ',', 'without', 'reaching', 'into', 'the', 'drawer', ':', ' ', ""'"", 'this', 'story', 'represents', 'a', 'sharp', 'falling', 'off', 'in', 'your', 'writing', '.')"	False
earn	earning	I'm getting paid and he's out of jail, earning more money to give to me.	4160	13	11	"('I', ""'m"", 'getting', 'paid', 'and', 'he', ""'s"", 'out', 'of', 'jail', ',', 'earning', 'more', 'money', 'to', 'give', 'to', 'me', '.')"	False
earn	earned	'to thunderous applause here in the american taliban, billionaire teresa heinz kerry said she looks forward to a day when 'women who have earned the right to be opinionated will be called smart and informed -- just as men are.'	27500	18	26	"(""'"", 'to', 'thunderous', 'applause', 'here', 'in', 'the', 'american', 'taliban', ',', 'billionaire', 'teresa', 'heinz', 'kerry', 'said', 'she', 'looks', 'forward', 'to', 'a', 'day', 'when', ""'"", 'women', 'who', 'have', 'earned', 'the', 'right', 'to', 'be', 'opinionated', 'will', 'be', 'called', 'smart', 'and', 'informed', '--', 'just', 'as', 'men', 'are', '.', ""'"")"	False
eat	eat	I know someone that won't eat anything that doesn't 'look good', i eat most things, looking good or not, and i never refuse free food.	8069	9	17	"('I', 'know', 'someone', 'that', 'wo', ""n't"", 'eat', 'anything', 'that', 'does', ""n't"", ""'"", 'look', 'good', ""'"", ',', 'i', 'eat', 'most', 'things', ',', 'looking', 'good', 'or', 'not', ',', 'and', 'i', 'never', 'refuse', 'free', 'food', '.')"	False
eat	eat	The coward stands right beside her and let's her eat the fruit.	19559	19	10	"('The', 'coward', 'stands', 'right', 'beside', 'her', 'and', 'let', ""'s"", 'her', 'eat', 'the', 'fruit', '.')"	False
eat	eat	then we showered and waited for jeff/joan to get back, which they did, but they werent hungry, so the 4 of us went to eat at todai (in cupertino)- not our first choice but not bad.	37133	44	30	('then', 'we', 'showered', 'and', 'waited', 'for', 'jeff', '/', 'joan', 'to', 'get', 'back', ',', 'which', 'they', 'did', ',', 'but', 'they', 'were', 'nt', 'hungry', ',', 'so', 'the', '4', 'of', 'us', 'went', 'to', 'eat', 'at', 'todai', '(', 'in', 'cupertino)-', 'not', 'our', 'first', 'choice', 'but', 'not', 'bad', '.')	False
eat	eat	you eat too much hummus.	20619	34	1	('you', 'eat', 'too', 'much', 'hummus', '.')	False
earn	earned	Big points for the flight attendant, and ata airlines has earned my undying respect and future patronage for handling an annoying situation so gracefully.	15447	52	11	('Big', 'points', 'for', 'the', 'flight', 'attendant', ',', 'and', 'ata', 'airlines', 'has', 'earned', 'my', 'undying', 'respect', 'and', 'future', 'patronage', 'for', 'handling', 'an', 'annoying', 'situation', 'so', 'gracefully', '.')	False
earn	earn	Acetic routines point to ourselves as the source of our joy, at the end, because they say, 'you will  earn  your joy by living up to this standard.'	24738	3	24	"('Acetic', 'routines', 'point', 'to', 'ourselves', 'as', 'the', 'source', 'of', 'our', 'joy', ',', 'at', 'the', 'end', ',', 'because', 'they', 'say', ',', ""'"", 'you', 'will', ' ', 'earn', ' ', 'your', 'joy', 'by', 'living', 'up', 'to', 'this', 'standard', '.', ""'"")"	False
eat	eating	I am not an animal lover, i have no problems with eating meat, nor with eating meat from animals who spent their sad lives in a little cage.	30302	12	17	('I', 'am', 'not', 'an', 'animal', 'lover', ',', 'i', 'have', 'no', 'problems', 'with', 'eating', 'meat', ',', 'nor', 'with', 'eating', 'meat', 'from', 'animals', 'who', 'spent', 'their', 'sad', 'lives', 'in', 'a', 'little', 'cage', '.')	False
earn	earn	'the president is making the case that people who earn between $50 [thousand] and $75,000 a year should be paying a third more taxes,' matsui said.	2085	55	10	"(""'"", 'the', 'president', 'is', 'making', 'the', 'case', 'that', 'people', 'who', 'earn', 'between', '$', '50', '[', 'thousand', ']', 'and', '$', '75,000', 'a', 'year', 'should', 'be', 'paying', 'a', 'third', 'more', 'taxes', ',', ""'"", 'matsui', 'said', '.')"	False
eat	eat	i sayi never get hungry as i hav gremlins in me that eat all my food so i never get enough nutrition gotta go bye	15483	8	12	('i', 'sayi', 'never', 'get', 'hungry', 'as', 'i', 'hav', 'gremlins', 'in', 'me', 'that', 'eat', 'all', 'my', 'food', 'so', 'i', 'never', 'get', 'enough', 'nutrition', 'got', 'ta', 'go', 'bye')	False
eat	eat	My dog looooooooooooooves to eat them, not just chew on them eat them.	34701	48	4	('My', 'dog', 'looooooooooooooves', 'to', 'eat', 'them', ',', 'not', 'just', 'chew', 'on', 'them', 'eat', 'them', '.')	False
eat	eat	All i do is eat bad things and do homework.	23144	17	4	('All', 'i', 'do', 'is', 'eat', 'bad', 'things', 'and', 'do', 'homework', '.')	False
earn	earned	Renee zellwegger kicked ass and earned all the awards she has won and/or will win on sunday, nicole kidman was pretty and sad, jude law was sad and died, and natalie portman made a stirring appearance as the widowed and lonely mother of the world's largest baby.	27977	3	5	"('Renee', 'zellwegger', 'kicked', 'ass', 'and', 'earned', 'all', 'the', 'awards', 'she', 'has', 'won', 'and/or', 'will', 'win', 'on', 'sunday', ',', 'nicole', 'kidman', 'was', 'pretty', 'and', 'sad', ',', 'jude', 'law', 'was', 'sad', 'and', 'died', ',', 'and', 'natalie', 'portman', 'made', 'a', 'stirring', 'appearance', 'as', 'the', 'widowed', 'and', 'lonely', 'mother', 'of', 'the', 'world', ""'s"", 'largest', 'baby', '.')"	False
earn	earned	Do not listen to mongo or cobra, for they started the site already admins but i earned my way on to the staff.	18696	3	17	('Do', 'not', 'listen', 'to', 'mongo', 'or', 'cobra', ',', 'for', 'they', 'started', 'the', 'site', 'already', 'admins', 'but', 'i', 'earned', 'my', 'way', 'on', 'to', 'the', 'staff', '.')	False
