lemma	word form	sentence	doc index	sent index	token index	tokenized sentence	randomized indices	randomized tokenized sentence	randomized token index	is_randomized
eat	ate	i woke up at 11ish ate lunch and went back to sleep until four.	16902	1	5	('i', 'woke', 'up', 'at', '11ish', 'ate', 'lunch', 'and', 'went', 'back', 'to', 'sleep', 'until', 'four', '.')	(9, 0, 3, 8, 4, 7, 2, 6, 14, 11, 1, 5, 13, 10, 12)	('back', 'i', 'at', 'went', '11ish', 'and', 'up', 'lunch', '.', 'sleep', 'woke', 'ate', 'four', 'to', 'until')	11.0	True
eat	eating	Now i'm eating and doing greek.	26026	1	3	"('Now', 'i', ""'m"", 'eating', 'and', 'doing', 'greek', '.')"	(4, 0, 5, 1, 3, 6, 7, 2)	"('and', 'Now', 'doing', 'i', 'eating', 'greek', '.', ""'m"")"	4.0	True
eat	eat	i couldn't eat for a while.	12968	47	3	"('i', 'could', ""n't"", 'eat', 'for', 'a', 'while', '.')"	(5, 0, 6, 1, 2, 3, 7, 4)	"('a', 'i', 'while', 'could', ""n't"", 'eat', '.', 'for')"	5.0	True
eat	eat	He promised that i could eat my weight in hotdogs, which i may just try.	29771	9	5	('He', 'promised', 'that', 'i', 'could', 'eat', 'my', 'weight', 'in', 'hotdogs', ',', 'which', 'i', 'may', 'just', 'try', '.')	(15, 8, 12, 14, 9, 6, 1, 10, 7, 16, 3, 2, 4, 5, 0, 11, 13)	('try', 'in', 'i', 'just', 'hotdogs', 'my', 'promised', ',', 'weight', '.', 'i', 'that', 'could', 'eat', 'He', 'which', 'may')	13.0	True
eat	ate	Glazed carrots ( i ate about 1/2 of these) 1/4 cup fresh raspberries 1 glass crystal lite lemonade  dinner: (remember i was at the fair)  1 corn dog w/ mustard only 1 grilled corn on the cob w/ butter 1 lemonade (with sugar)  snacks:  white cheddar cheez it crackers (1 cup or so) 4	29264	5	4	('Glazed', 'carrots', '(', 'i', 'ate', 'about', '1/2', 'of', 'these', ')', '1/4', 'cup', 'fresh', 'raspberries', '1', 'glass', 'crystal', 'lite', 'lemonade', ' ', 'dinner', ':', '(', 'remember', 'i', 'was', 'at', 'the', 'fair', ')', ' ', '1', 'corn', 'dog', 'w/', 'mustard', 'only', '1', 'grilled', 'corn', 'on', 'the', 'cob', 'w/', 'butter', '1', 'lemonade', '(', 'with', 'sugar', ')', ' ', 'snacks', ':', ' ', 'white', 'cheddar', 'cheez', 'it', 'crackers', '(', '1', 'cup', 'or', 'so', ')', '4')	(52, 60, 25, 48, 0, 57, 36, 31, 21, 7, 40, 55, 32, 20, 22, 27, 3, 17, 58, 62, 1, 8, 65, 37, 6, 5, 13, 33, 63, 35, 61, 42, 29, 41, 47, 12, 30, 19, 45, 34, 14, 56, 18, 54, 50, 15, 66, 23, 26, 2, 28, 46, 59, 51, 39, 49, 44, 53, 11, 10, 9, 24, 38, 16, 43, 4, 64)	('snacks', '(', 'was', 'with', 'Glazed', 'cheez', 'only', '1', ':', 'of', 'on', 'white', 'corn', 'dinner', '(', 'the', 'i', 'lite', 'it', 'cup', 'carrots', 'these', ')', '1', '1/2', 'about', 'raspberries', 'dog', 'or', 'mustard', '1', 'cob', ')', 'the', '(', 'fresh', ' ', ' ', '1', 'w/', '1', 'cheddar', 'lemonade', ' ', ')', 'glass', '4', 'remember', 'at', '(', 'fair', 'lemonade', 'crackers', ' ', 'corn', 'sugar', 'butter', ':', 'cup', '1/4', ')', 'i', 'grilled', 'crystal', 'w/', 'ate', 'so')	65.0	True
eat	eat	cb doctor gave me so many tablets to eat...tablets suck...so after eating medicine went back to sleep at 3 plus hiphoppig call me to go gym...	4780	2	8	('cb', 'doctor', 'gave', 'me', 'so', 'many', 'tablets', 'to', 'eat', '...', 'tablets', 'suck', '...', 'so', 'after', 'eating', 'medicine', 'went', 'back', 'to', 'sleep', 'at', '3', 'plus', 'hiphoppig', 'call', 'me', 'to', 'go', 'gym', '...')	(8, 27, 6, 5, 20, 15, 25, 9, 14, 19, 4, 18, 28, 21, 22, 17, 3, 10, 30, 23, 24, 2, 26, 7, 11, 16, 12, 1, 13, 0, 29)	('eat', 'to', 'tablets', 'many', 'sleep', 'eating', 'call', '...', 'after', 'to', 'so', 'back', 'go', 'at', '3', 'went', 'me', 'tablets', '...', 'plus', 'hiphoppig', 'gave', 'me', 'to', 'suck', 'medicine', '...', 'doctor', 'so', 'cb', 'gym')	0.0	True
eat	eat	This reminds me of the line that taco bell used to use that claimed 'you like it or we'll eat it!'.	12242	7	21	"('This', 'reminds', 'me', 'of', 'the', 'line', 'that', 'taco', 'bell', 'used', 'to', 'use', 'that', 'claimed', ""'"", 'you', 'like', 'it', 'or', 'we', ""'ll"", 'eat', 'it', '!', ""'"", '.')"	(11, 5, 2, 14, 24, 20, 12, 8, 1, 23, 21, 10, 25, 15, 0, 22, 18, 7, 9, 3, 13, 16, 19, 17, 4, 6)	"('use', 'line', 'me', ""'"", ""'"", ""'ll"", 'that', 'bell', 'reminds', '!', 'eat', 'to', '.', 'you', 'This', 'it', 'or', 'taco', 'used', 'of', 'claimed', 'like', 'we', 'it', 'the', 'that')"	10.0	True
eat	eat	they all eat in sch.. den i went home n heer i am now.. bah.. washed my shoes too..	16023	4	2	('they', 'all', 'eat', 'in', 'sch', '..', 'den', 'i', 'went', 'home', 'n', 'heer', 'i', 'am', 'now', '..', 'bah', '..', 'washed', 'my', 'shoes', 'too', '..')	(21, 14, 12, 20, 16, 6, 3, 18, 17, 5, 8, 1, 15, 10, 2, 19, 7, 11, 0, 13, 9, 4, 22)	('too', 'now', 'i', 'shoes', 'bah', 'den', 'in', 'washed', '..', '..', 'went', 'all', '..', 'n', 'eat', 'my', 'i', 'heer', 'they', 'am', 'home', 'sch', '..')	14.0	True
eat	eat	for the longest time, my defense for eating meat was 'eat or be eaten.'	24073	3	12	"('for', 'the', 'longest', 'time', ',', 'my', 'defense', 'for', 'eating', 'meat', 'was', ""'"", 'eat', 'or', 'be', 'eaten', '.', ""'"")"	(9, 6, 13, 8, 4, 7, 17, 15, 14, 1, 12, 10, 16, 3, 5, 2, 11, 0)	"('meat', 'defense', 'or', 'eating', ',', 'for', ""'"", 'eaten', 'be', 'the', 'eat', 'was', '.', 'time', 'my', 'longest', ""'"", 'for')"	10.0	True
eat	eat	going to the  lau di fang  s11 to eat.	16550	12	10	('going', 'to', 'the', ' ', 'lau', 'di', 'fang', ' ', 's11', 'to', 'eat', '.')	(9, 4, 1, 6, 3, 5, 0, 8, 2, 11, 7, 10)	('to', 'lau', 'to', 'fang', ' ', 'di', 'going', 's11', 'the', '.', ' ', 'eat')	11.0	True
eat	ate	[ x ] the last thing you ate - chicken nuggets [ x ] something that you are deathly afraid of - weight gain, or loseing more weight.	16893	40	7	('[', 'x', ']', 'the', 'last', 'thing', 'you', 'ate', '-', 'chicken', 'nuggets', '[', 'x', ']', 'something', 'that', 'you', 'are', 'deathly', 'afraid', 'of', '-', 'weight', 'gain', ',', 'or', 'loseing', 'more', 'weight', '.')	(2, 14, 19, 23, 7, 21, 3, 20, 18, 4, 5, 28, 0, 22, 13, 11, 24, 27, 26, 8, 15, 17, 12, 16, 9, 10, 29, 6, 25, 1)	(']', 'something', 'afraid', 'gain', 'ate', '-', 'the', 'of', 'deathly', 'last', 'thing', 'weight', '[', 'weight', ']', '[', ',', 'more', 'loseing', '-', 'that', 'are', 'x', 'you', 'chicken', 'nuggets', '.', 'you', 'or', 'x')	4.0	True
eat	eat	My dog looooooooooooooves to eat them, not just chew on them eat them.	34701	48	4	('My', 'dog', 'looooooooooooooves', 'to', 'eat', 'them', ',', 'not', 'just', 'chew', 'on', 'them', 'eat', 'them', '.')	(12, 13, 2, 10, 9, 3, 0, 6, 1, 4, 8, 5, 14, 11, 7)	('eat', 'them', 'looooooooooooooves', 'on', 'chew', 'to', 'My', ',', 'dog', 'eat', 'just', 'them', '.', 'them', 'not')	9.0	True
eat	eating	making a good impression my laugh being to self conscious not sleeping enough not eating enough eating too much doing things i shouldn't being too catholic bobby ending up being a lead guitar in a heavy metal band  {he's banging on his guitar right now, and yelling rather random syllables with it...} doing too much  not doing enough whether or not anyone cares.	5177	8	16	"('making', 'a', 'good', 'impression', 'my', 'laugh', 'being', 'to', 'self', 'conscious', 'not', 'sleeping', 'enough', 'not', 'eating', 'enough', 'eating', 'too', 'much', 'doing', 'things', 'i', 'should', ""n't"", 'being', 'too', 'catholic', 'bobby', 'ending', 'up', 'being', 'a', 'lead', 'guitar', 'in', 'a', 'heavy', 'metal', 'band', ' ', '{', 'he', ""'s"", 'banging', 'on', 'his', 'guitar', 'right', 'now', ',', 'and', 'yelling', 'rather', 'random', 'syllables', 'with', 'it', '...', '}', 'doing', 'too', 'much', ' ', 'not', 'doing', 'enough', 'whether', 'or', 'not', 'anyone', 'cares', '.')"	(45, 36, 70, 65, 6, 52, 34, 7, 20, 0, 64, 49, 53, 47, 5, 12, 56, 16, 26, 29, 67, 31, 43, 11, 14, 63, 35, 19, 68, 18, 30, 24, 33, 62, 15, 48, 8, 58, 59, 38, 9, 1, 69, 32, 23, 25, 51, 42, 4, 3, 50, 40, 17, 27, 66, 60, 55, 46, 2, 61, 22, 28, 44, 21, 54, 57, 39, 37, 71, 10, 13, 41)	"('his', 'heavy', 'cares', 'enough', 'being', 'rather', 'in', 'to', 'things', 'making', 'doing', ',', 'random', 'right', 'laugh', 'enough', 'it', 'eating', 'catholic', 'up', 'or', 'a', 'banging', 'sleeping', 'eating', 'not', 'a', 'doing', 'not', 'much', 'being', 'being', 'guitar', ' ', 'enough', 'now', 'self', '}', 'doing', 'band', 'conscious', 'a', 'anyone', 'lead', ""n't"", 'too', 'yelling', ""'s"", 'my', 'impression', 'and', '{', 'too', 'bobby', 'whether', 'too', 'with', 'guitar', 'good', 'much', 'should', 'ending', 'on', 'i', 'syllables', '...', ' ', 'metal', '.', 'not', 'not', 'he')"	17.0	True
eat	eating	He was near death when the vet office first got him, and now he's eating on his own, opening his eyes, and probably able to be set free soon.	11848	18	16	"('He', 'was', 'near', 'death', 'when', 'the', 'vet', 'office', 'first', 'got', 'him', ',', 'and', 'now', 'he', ""'s"", 'eating', 'on', 'his', 'own', ',', 'opening', 'his', 'eyes', ',', 'and', 'probably', 'able', 'to', 'be', 'set', 'free', 'soon', '.')"	(33, 27, 7, 25, 8, 1, 0, 26, 30, 21, 19, 12, 31, 17, 32, 16, 9, 20, 11, 10, 24, 23, 5, 14, 2, 4, 3, 6, 15, 29, 22, 18, 13, 28)	"('.', 'able', 'office', 'and', 'first', 'was', 'He', 'probably', 'set', 'opening', 'own', 'and', 'free', 'on', 'soon', 'eating', 'got', ',', ',', 'him', ',', 'eyes', 'the', 'he', 'near', 'when', 'death', 'vet', ""'s"", 'be', 'his', 'his', 'now', 'to')"	15.0	True
eat	eating	Just so you don't get the wrong idea, eating nuts isn't all i do.	11947	50	10	"('Just', 'so', 'you', 'do', ""n't"", 'get', 'the', 'wrong', 'idea', ',', 'eating', 'nuts', 'is', ""n't"", 'all', 'i', 'do', '.')"	(15, 0, 16, 13, 3, 7, 5, 6, 4, 10, 1, 9, 2, 8, 12, 14, 17, 11)	"('i', 'Just', 'do', ""n't"", 'do', 'wrong', 'get', 'the', ""n't"", 'eating', 'so', ',', 'you', 'idea', 'is', 'all', '.', 'nuts')"	9.0	True
eat	eat	Maybe he was making a statement 'i'll eat this if i have to, see what you put me through?'	16662	12	9	"('Maybe', 'he', 'was', 'making', 'a', 'statement', ""'"", 'i', ""'ll"", 'eat', 'this', 'if', 'i', 'have', 'to', ',', 'see', 'what', 'you', 'put', 'me', 'through', '?', ""'"")"	(1, 6, 7, 5, 0, 15, 3, 17, 21, 9, 22, 8, 12, 13, 18, 23, 11, 16, 19, 14, 2, 20, 10, 4)	"('he', ""'"", 'i', 'statement', 'Maybe', ',', 'making', 'what', 'through', 'eat', '?', ""'ll"", 'i', 'have', 'you', ""'"", 'if', 'see', 'put', 'to', 'was', 'me', 'this', 'a')"	9.0	True
eat	eating	i mean, if you can control things like immunity, health, and general well being with merely takign care of your body and eating right, why not do it?!	15175	48	25	('i', 'mean', ',', 'if', 'you', 'can', 'control', 'things', 'like', 'immunity', ',', 'health', ',', 'and', 'general', 'well', 'being', 'with', 'merely', 'takign', 'care', 'of', 'your', 'body', 'and', 'eating', 'right', ',', 'why', 'not', 'do', 'it', '?', '!')	(1, 14, 3, 27, 0, 33, 21, 5, 13, 12, 26, 25, 15, 30, 18, 23, 24, 4, 28, 17, 20, 6, 8, 2, 9, 16, 11, 7, 22, 29, 31, 32, 10, 19)	('mean', 'general', 'if', ',', 'i', '!', 'of', 'can', 'and', ',', 'right', 'eating', 'well', 'do', 'merely', 'body', 'and', 'you', 'why', 'with', 'care', 'control', 'like', ',', 'immunity', 'being', 'health', 'things', 'your', 'not', 'it', '?', ',', 'takign')	11.0	True
eat	eat	I got to finish reading the chapter i'd started last night in  urllink this  book, eat a leisurely breakfast of eggs, toast, bacon and wash it down with coffee and plan this weekend's valentine's day event(s).	29816	4	19	"('I', 'got', 'to', 'finish', 'reading', 'the', 'chapter', 'i', ""'d"", 'started', 'last', 'night', 'in', ' ', 'urllink', 'this', ' ', 'book', ',', 'eat', 'a', 'leisurely', 'breakfast', 'of', 'eggs', ',', 'toast', ',', 'bacon', 'and', 'wash', 'it', 'down', 'with', 'coffee', 'and', 'plan', 'this', 'weekend', ""'s"", 'valentine', ""'s"", 'day', 'event(s', ')', '.')"	(7, 35, 21, 23, 0, 3, 33, 27, 39, 43, 8, 37, 12, 28, 20, 11, 17, 40, 4, 10, 6, 24, 32, 42, 29, 5, 38, 22, 2, 14, 9, 25, 15, 30, 19, 18, 34, 31, 1, 26, 44, 13, 45, 16, 36, 41)	"('i', 'and', 'leisurely', 'of', 'I', 'finish', 'with', ',', ""'s"", 'event(s', ""'d"", 'this', 'in', 'bacon', 'a', 'night', 'book', 'valentine', 'reading', 'last', 'chapter', 'eggs', 'down', 'day', 'and', 'the', 'weekend', 'breakfast', 'to', 'urllink', 'started', ',', 'this', 'wash', 'eat', ',', 'coffee', 'it', 'got', 'toast', ')', ' ', '.', ' ', 'plan', ""'s"")"	34.0	True
eat	eat	My ape knows to eat when he's hungry, drink when he's thirsty, and poop on trees when he, well, needs to poo.	15293	15	4	"('My', 'ape', 'knows', 'to', 'eat', 'when', 'he', ""'s"", 'hungry', ',', 'drink', 'when', 'he', ""'s"", 'thirsty', ',', 'and', 'poop', 'on', 'trees', 'when', 'he', ',', 'well', ',', 'needs', 'to', 'poo', '.')"	(2, 15, 22, 25, 16, 17, 27, 26, 0, 11, 28, 24, 14, 8, 21, 20, 6, 23, 18, 10, 5, 7, 13, 19, 12, 9, 1, 3, 4)	"('knows', ',', ',', 'needs', 'and', 'poop', 'poo', 'to', 'My', 'when', '.', ',', 'thirsty', 'hungry', 'he', 'when', 'he', 'well', 'on', 'drink', 'when', ""'s"", ""'s"", 'trees', 'he', ',', 'ape', 'to', 'eat')"	28.0	True
eat	eating	(yah i know im picky, but i hate tofu and if its too spicy then i cant enjoy it then what would be the point of eating it!).	37012	11	30	('(', 'yah', 'i', 'know', 'i', 'm', 'picky', ',', 'but', 'i', 'hate', 'tofu', 'and', 'if', 'its', 'too', 'spicy', 'then', 'i', 'ca', 'nt', 'enjoy', 'it', 'then', 'what', 'would', 'be', 'the', 'point', 'of', 'eating', 'it', '!', ')', '.')	(27, 1, 2, 10, 7, 25, 16, 30, 5, 29, 32, 24, 14, 6, 22, 23, 12, 11, 8, 4, 13, 33, 0, 17, 9, 15, 21, 20, 26, 28, 19, 31, 18, 34, 3)	('the', 'yah', 'i', 'hate', ',', 'would', 'spicy', 'eating', 'm', 'of', '!', 'what', 'its', 'picky', 'it', 'then', 'and', 'tofu', 'but', 'i', 'if', ')', '(', 'then', 'i', 'too', 'enjoy', 'nt', 'be', 'point', 'ca', 'it', 'i', '.', 'know')	7.0	True
eat	eating	She is always on me about eating better!	33444	11	6	('She', 'is', 'always', 'on', 'me', 'about', 'eating', 'better', '!')	(6, 8, 5, 4, 7, 3, 0, 2, 1)	('eating', '!', 'about', 'me', 'better', 'on', 'She', 'always', 'is')	0.0	True
eat	eated	At night i was with paulo pimentel and gabriel drummond, we took the bus to guara and eated at mcdonald.	28324	8	18	('At', 'night', 'i', 'was', 'with', 'paulo', 'pimentel', 'and', 'gabriel', 'drummond', ',', 'we', 'took', 'the', 'bus', 'to', 'guara', 'and', 'eated', 'at', 'mcdonald', '.')	(13, 17, 3, 20, 10, 21, 15, 9, 8, 7, 5, 11, 2, 14, 0, 1, 18, 12, 16, 19, 6, 4)	('the', 'and', 'was', 'mcdonald', ',', '.', 'to', 'drummond', 'gabriel', 'and', 'paulo', 'we', 'i', 'bus', 'At', 'night', 'eated', 'took', 'guara', 'at', 'pimentel', 'with')	16.0	True
eat	ate	I'm getting antsy though, last night after amanda and i ate at our favorite chinese food restaurant we thought we would go take a look around, maybe peek in the windows (even though it's on the second floor).	38587	3	12	"('I', ""'m"", 'getting', 'antsy', 'though', ',', 'last', 'night', 'after', 'amanda', 'and', 'i', 'ate', 'at', 'our', 'favorite', 'chinese', 'food', 'restaurant', 'we', 'thought', 'we', 'would', 'go', 'take', 'a', 'look', 'around', ',', 'maybe', 'peek', 'in', 'the', 'windows', '(', 'even', 'though', 'it', ""'s"", 'on', 'the', 'second', 'floor', ')', '.')"	(27, 17, 5, 16, 12, 4, 29, 28, 14, 6, 43, 11, 33, 26, 2, 24, 40, 7, 8, 15, 36, 0, 20, 22, 35, 9, 18, 13, 3, 42, 44, 23, 1, 30, 41, 31, 34, 38, 32, 21, 37, 19, 39, 25, 10)	"('around', 'food', ',', 'chinese', 'ate', 'though', 'maybe', ',', 'our', 'last', ')', 'i', 'windows', 'look', 'getting', 'take', 'the', 'night', 'after', 'favorite', 'though', 'I', 'thought', 'would', 'even', 'amanda', 'restaurant', 'at', 'antsy', 'floor', '.', 'go', ""'m"", 'peek', 'second', 'in', '(', ""'s"", 'the', 'we', 'it', 'we', 'on', 'a', 'and')"	4.0	True
eat	ate	after talking with  urllink ana  (a new sister like online buddy), i ate dinner and went to the terrace for an hour to unwind and see the sky.	37499	5	17	('after', 'talking', 'with', ' ', 'urllink', 'ana', ' ', '(', 'a', 'new', 'sister', 'like', 'online', 'buddy', ')', ',', 'i', 'ate', 'dinner', 'and', 'went', 'to', 'the', 'terrace', 'for', 'an', 'hour', 'to', 'unwind', 'and', 'see', 'the', 'sky', '.')	(0, 27, 31, 25, 29, 3, 33, 21, 18, 11, 14, 8, 7, 2, 5, 12, 23, 10, 17, 28, 32, 4, 1, 15, 19, 24, 16, 30, 6, 22, 13, 9, 26, 20)	('after', 'to', 'the', 'an', 'and', ' ', '.', 'to', 'dinner', 'like', ')', 'a', '(', 'with', 'ana', 'online', 'terrace', 'sister', 'ate', 'unwind', 'sky', 'urllink', 'talking', ',', 'and', 'for', 'i', 'see', ' ', 'the', 'buddy', 'new', 'hour', 'went')	18.0	True
eat	ate	so i went down to the kitchen and ate a box of twinkies and a newborn baby's soul.	32722	22	8	"('so', 'i', 'went', 'down', 'to', 'the', 'kitchen', 'and', 'ate', 'a', 'box', 'of', 'twinkies', 'and', 'a', 'newborn', 'baby', ""'s"", 'soul', '.')"	(13, 17, 0, 12, 11, 2, 3, 16, 1, 10, 4, 8, 14, 19, 5, 15, 6, 18, 9, 7)	"('and', ""'s"", 'so', 'twinkies', 'of', 'went', 'down', 'baby', 'i', 'box', 'to', 'ate', 'a', '.', 'the', 'newborn', 'kitchen', 'soul', 'a', 'and')"	11.0	True
eat	eat	Well, today has been kind of cool, i went to eat lunch with jon and then we watched a movie.	23391	5	12	('Well', ',', 'today', 'has', 'been', 'kind', 'of', 'cool', ',', 'i', 'went', 'to', 'eat', 'lunch', 'with', 'jon', 'and', 'then', 'we', 'watched', 'a', 'movie', '.')	(7, 5, 9, 17, 10, 0, 20, 3, 1, 21, 12, 19, 4, 18, 13, 16, 6, 15, 8, 14, 11, 2, 22)	('cool', 'kind', 'i', 'then', 'went', 'Well', 'a', 'has', ',', 'movie', 'eat', 'watched', 'been', 'we', 'lunch', 'and', 'of', 'jon', ',', 'with', 'to', 'today', '.')	10.0	True
