,lemma,verb form,percent as verb,percent as propn,Count as verb,Sentence,Doc index,Sent index,index of verb,tokenized sentence,total open class,BERT tag,BERT replacements,entropy,%OPENCLASS,POS PREDICTIONS,ROBERTA REPLACEMENTS
10,skill,skills,0.0039525691699604,0.0,2,This is mainly down to me going off on ccf camp which will involve a day of paintballing apparently to improve any soldierly skills any of us have.,35528,12,23,"('This', 'is', 'mainly', 'down', 'to', 'me', 'going', 'off', 'on', 'ccf', 'camp', 'which', 'will', 'involve', 'a', 'day', 'of', 'paintballing', 'apparently', 'to', 'improve', 'any', 'soldierly', 'skills', 'any', 'of', 'us', 'have', '.')",506.0,NOUN,"['skills', 'experience', 'qualities', 'morale', 'reputation']",0.037244401880164,1.0,NOUN,"['skills', 'skill', 'knowledge', 'training', 'memory']"
11,feeling,feelings,0.0022143489813994,0.0013286093888396,5,i still hv feelings 4 Reina..,26798,52,3,"('i', 'still', 'hv', 'feelings', '4', 'Reina', '..')",2258.0,PUNCT,"['.,', '-', '/', ':']",0.0373264839211411,0.9916556873078612,PROPN,"['t', 'det', 'respekt', 'en', 'lyst']"
12,feeling,feelings,0.0022143489813994,0.0013286093888396,5,"it 2 b lyk, i hv feelings 4 dem..",26795,58,18,"('it', '2', 'b', 'lyk', ',', 'i', 'hv', 'feelings', '4', 'dem', '..')",2258.0,,,0.0373264839211411,0.9916556873078612,,['']
13,feeling,feelings,0.0022143489813994,0.0013286093888396,5,"Shes filled with hate deep inside, but that feelings nothing new.",30216,134,10,"('She', 's', 'filled', 'with', 'hate', 'deep', 'inside', ',', 'but', 'that', 'feelings', 'nothing', 'new', '.')",2258.0,VERB,"['is', 'was', 'means', 'proves', 'changes']",0.0373264839211411,0.9916556873078612,VERB,"['s', 's', 'is', 'was', 'means']"
14,feeling,feelings,0.0022143489813994,0.0013286093888396,5,"So I'm walking home in the rain reading it, in disbelief, smsing luke 2 double check its bout me, yup is, yeh feelings mutual etc.",37743,10,27,"('So', 'I', ""'m"", 'walking', 'home', 'in', 'the', 'rain', 'reading', 'it', ',', 'in', 'disbelief', ',', 'smsing', 'luke', '2', 'double', 'check', 'its', 'bout', 'me', ',', 'yup', 'is', ',', 'yeh', 'feelings', 'mutual', 'etc', '.')",2258.0,PROPN,"[',', 'a', 'is', 'be', '-']",0.0373264839211411,0.9916556873078612,PROPN,"['its', 'is', 's', ',', 'the']"
15,feeling,feelings,0.0022143489813994,0.0013286093888396,5,"Iâm rili confused  ),=   Sekarang ni bukannya masa yang tepat untukku bilang to let mie feelings out..",14305,9,20,"('I', 'â\x80\x99m', 'rili', 'confused', ' ', ')', ',', '=', '  ', 'Sekarang', 'ni', 'bukannya', 'masa', 'yang', 'tepat', 'untukku', 'bilang', 'to', 'let', 'mie', 'feelings', 'out', '..')",2258.0,PROPN,"['come', 'go', 'it', 'get', 'you']",0.0373264839211411,0.9916556873078612,VERB,"['chill', 'hang', 'come', 'all', 'go']"
16,jesus,JESUS,0.0009407337723424,0.9962370649106302,1,Thank you JESUS for all the ways you've made and so much more... like dying on the cross for my sins...,36603,103,2,"('Thank', 'you', 'JESUS', 'for', 'all', 'the', 'ways', 'you', ""'ve"", 'made', 'and', 'so', 'much', 'more', '...', 'like', 'dying', 'on', 'the', 'cross', 'for', 'my', 'sins', '...')",1063.0,PRON,"['again,', 'all', 'God', 'both']",0.0413693438473001,1.0,PROPN,"['...', 'Lord', 'all', 'again', 'God']"
17,ne,ned,0.0052631578947368,0.9947368421052633,1,"Gestern sind meine Mum und ich direkt nach der Schule nach nem Rock schauen gegangen und...ich hatte mich in der Schule schon ned so gut gefuehlt (mein Ruecken tat/tut voll weh),",23347,0,24,"('Gestern', 'sind', 'meine', 'Mum', 'und', 'ich', 'direkt', 'nach', 'der', 'Schule', 'nach', 'nem', 'Rock', 'schauen', 'gegangen', 'und', '...', 'ich', 'hatte', 'mich', 'in', 'der', 'Schule', 'schon', 'ned', 'so', 'gut', 'gefuehlt', '(', 'mein', 'Ruecken', 'tat', '/', 'tut', 'voll', 'weh', ')', ',')",190.0,PUNCT,"[',', 'und', '/', ':', 'zu']",0.0474144600268282,1.0,PROPN,"['nicht', 'nie', 'wieder', 'mal', 'halb']"
18,sa,sa,0.0012468827930174,0.9950124688279302,1,so i went around teh school and sa them,21954,9,7,"('so', 'i', 'went', 'around', 'teh', 'school', 'and', 'sa', 'them')",802.0,VERB,"['saw', 'met', 'watched', 'told', 'found']",0.0493657249491903,0.9987546699875468,VERB,"['saw', 'asked', 'found', 'knew', 'met']"
19,comments,COMMENTS,0.0056980056980056,0.9943019943019944,2,COMMENTS SECTION...,9382,1,0,"('COMMENTS', 'SECTION', '...')",351.0,DET,"['THE', '""', 'A', '-.']",0.0506775167513737,1.0,NUM,"['...', 'THE', '2', '3', '5']"
20,comments,COMMENTs,0.0056980056980056,0.9943019943019944,2,lol not that anyone COMMENTs....,15142,27,4,"('lol', 'not', 'that', 'anyone', 'COMMENTs', '....')",351.0,AUX,"['would', 'could', 'else', 'can', 'knows']",0.0506775167513737,1.0,VERB,"['has', 'knows', 'will', 'ever', 'would']"
21,direction,direction,0.001727115716753,0.003454231433506,1,and i'm falling into the crevice no matter which direction its going.,12695,4,10,"('and', 'i', ""'m"", 'falling', 'into', 'the', 'crevice', 'no', 'matter', 'which', 'direction', 'its', 'going', '.')",579.0,PRON,"['way', 'direction', 'side', 'path', 'angle']",0.0515528698877307,1.0,PRON,"['way', 'direction', 'side', 'route', 'path']"
22,pleased,pleased,0.0058479532163742,0.0,1,So his wife was not to pleased with him either.,38379,7,6,"('So', 'his', 'wife', 'was', 'not', 'to', 'pleased', 'with', 'him', 'either', '.')",171.0,VERB,"['be', 'stay', 'sleep', 'come', 'argue']",0.051791350304557,1.0,VERB,"['agree', 'stay', 'live', 'be', 'ying']"
23,habit,habit,0.0025906735751295,0.0025906735751295,1,"Other days I would drape a towel over my hair and, instead of pretending it was long flowing locks, would imagine myself in a nuns habit.",4424,4,27,"('Other', 'days', 'I', 'would', 'drape', 'a', 'towel', 'over', 'my', 'hair', 'and', ',', 'instead', 'of', 'pretending', 'it', 'was', 'long', 'flowing', 'locks', ',', 'would', 'imagine', 'myself', 'in', 'a', 'nuns', 'habit', '.')",386.0,NOUN,"['convent', 'nun', 'gown', 'dormitory', 'habit']",0.0519762075351167,1.0,NOUN,"['dress', 'robe', 'outfit', 'clothing', 'clothes']"
24,del,del,0.0058823529411764,0.9941176470588236,1,"on a particular day u del me from GunBound and den a sudden change of attitude, tell u hor, wat i do?",27024,5,5,"('on', 'a', 'particular', 'day', 'u', 'del', 'me', 'from', 'GunBound', 'and', 'den', 'a', 'sudden', 'change', 'of', 'attitude', ',', 'tell', 'u', 'hor', ',', 'wat', 'i', 'do', '?')",170.0,VERB,"['call', 'called', 'texted', 'borrowed', 'phone']",0.0520460847748243,1.0,VERB,"['saw', 'called', 'see', 'sent', 'call']"
25,conversation,conversation,0.000790513833992,0.0047430830039525,1,Then I went to thoughts of Kay and then I came back to the world and my friends conversation.,36597,27,18,"('Then', 'I', 'went', 'to', 'thoughts', 'of', 'Kay', 'and', 'then', 'I', 'came', 'back', 'to', 'the', 'world', 'and', 'my', 'friends', 'conversation', '.')",1265.0,ADV,"['again', 'too', 'forever', 'all', 'alone']",0.0527237539623264,1.0,ADV,"['.', 'again', 'too', '...', 'back']"
26,people,people,5.763356578871535e-05,0.0058786237104489,1,"All you HCT people out there, if you have Jacki's phone number, let me know.",23433,12,3,"('All', 'you', 'HCT', 'people', 'out', 'there', ',', 'if', 'you', 'have', 'Jacki', ""'s"", 'phone', 'number', ',', 'let', 'me', 'know', '.')",17351.0,VERB,"['##s', 'guys', 'people', 'members', 'agents']",0.0529127764997212,0.9999423697556478,VERB,"['s', 'fans', 'members', 'folks', 'people']"
27,same,Samed,0.000604473100947,0.001208946201894,3,"I get to Samed on Sat's noon, It so hot but funny and happy, with my ex colleager and my bf, about 20 peoples, WOW!!!",32436,4,3,"('I', 'get', 'to', 'Samed', 'on', 'Sat', ""'s"", 'noon', ',', 'It', 'so', 'hot', 'but', 'funny', 'and', 'happy', ',', 'with', 'my', 'ex', 'colleager', 'and', 'my', 'bf', ',', 'about', '20', 'peoples', ',', 'WOW', '!', '!', '!')",4963.0,VERB,"['work', 'live', 'sleep', 'go', 'be']",0.0554104808216057,0.999798549556809,VERB,"['go', 'work', 'it', 'party', 'be']"
28,same,Samed,0.000604473100947,0.001208946201894,3,I just back from  Samed .,32436,1,5,"('I', 'just', 'back', 'from', ' ', 'Samed', '.')",4963.0,NOUN,"['work', 'it', 'home', 'school', 'you']",0.0554104808216057,0.999798549556809,NOUN,"['work', 'London', 'vacation', 'Paris', 'school']"
29,same,samed,0.000604473100947,0.001208946201894,3,"Afternoon i had lunch with Myy and Keth (myy's colleager) at 'Swiss Cafe' on Silom road, and then i went to see my friend who i went to samed on last week.",32435,7,34,"('Afternoon', 'i', 'had', 'lunch', 'with', 'Myy', 'and', 'Keth', '(', 'myy', ""'s"", 'colleager', ')', 'at', ""'"", 'Swiss', 'Cafe', ""'"", 'on', 'Silom', 'road', ',', 'and', 'then', 'i', 'went', 'to', 'see', 'my', 'friend', 'who', 'i', 'went', 'to', 'samed', 'on', 'last', 'week', '.')",4963.0,VERB,"['check', 'spy', 'work', 'visit', 'sit']",0.0554104808216057,0.999798549556809,VERB,"['check', 'work', 'meet', 'sleep', 'lunch']"
30,way,Way,0.0003483713638738,0.0059223131858561,4,"Over the rainbow Way up high There's a land that I heard of Once, In a lullaby  Somewhere over the rainbow Skies are blue And the dreams that you dare to dream Really do come true",22277,1,3,"('Over', 'the', 'rainbow', 'Way', 'up', 'high', 'There', ""'s"", 'a', 'land', 'that', 'I', 'heard', 'of', 'Once', ',', 'In', 'a', 'lullaby', ' ', 'Somewhere', 'over', 'the', 'rainbow', 'Skies', 'are', 'blue', 'And', 'the', 'dreams', 'that', 'you', 'dare', 'to', 'dream', 'Really', 'do', 'come', 'true')",11482.0,CCONJ,"['And,', 'and', 'Somewhere', 'From']",0.0568429213265144,0.9594718810061,VERB,"[',', 'Far', 'Way', 'And', 'High']"
31,way,way,0.0003483713638738,0.0059223131858561,4,"Personally, I have never been the biggest fan of the gym, to me I would way rather play a sport than sit on a cycle or run on a treadmill like a hamster.",15961,6,17,"('Personally', ',', 'I', 'have', 'never', 'been', 'the', 'biggest', 'fan', 'of', 'the', 'gym', ',', 'to', 'me', 'I', 'would', 'way', 'rather', 'play', 'a', 'sport', 'than', 'sit', 'on', 'a', 'cycle', 'or', 'run', 'on', 'a', 'treadmill', 'like', 'a', 'hamster', '.')",11482.0,ADV,"['much', 'far', 'have', 'probably', 'really']",0.0568429213265144,0.9594718810061,ADV,"['much', 'always', 'just', 'far', 'actually']"
32,way,ways,0.0003483713638738,0.0059223131858561,4,I just got back from the PHPC youth website commitee (i started this extravagant adventrue when i told steve about my idea lol ) ne ways its a fun process this website will be available for everyone!,30274,1,26,"('I', 'just', 'got', 'back', 'from', 'the', 'PHPC', 'youth', 'website', 'commitee', '(', 'i', 'started', 'this', 'extravagant', 'adventrue', 'when', 'i', 'told', 'steve', 'about', 'my', 'idea', 'lol', ')', 'ne', 'ways', 'its', 'a', 'fun', 'process', 'this', 'website', 'will', 'be', 'available', 'for', 'everyone', '!')",11482.0,SYM,['##dsssrh'],0.0568429213265144,0.9594718810061,SCONJ,"['if', 'though', 'hope', 'after', 'think']"
33,way,way,0.0003483713638738,0.0059223131858561,4,"if happy little bluebirds fly Beyond the rainbow way up high Why, Ohhhhh why can't I?",22277,9,8,"('if', 'happy', 'little', 'bluebirds', 'fly', 'Beyond', 'the', 'rainbow', 'way', 'up', 'high', 'Why', ',', 'Ohhhhh', 'why', 'ca', ""n't"", 'I', '?')",11482.0,CCONJ,"['and,s', 'And', 'from']",0.0568429213265144,0.9594718810061,ADV,"['s', ',', 'and', 'high', 'far']"
34,car,car,0.0002575328354365,0.0056657223796034,1,"Then Jay hadda get the car back and they ran into there friend who was like gonna follow them and drop jays car off @ his house and then meet us @ lowland park, so they dropped us off there and we ran down went on the merry go round and like drank the bottle in like 2 minutes",17555,54,23,"('Then', 'Jay', 'hadda', 'get', 'the', 'car', 'back', 'and', 'they', 'ran', 'into', 'there', 'friend', 'who', 'was', 'like', 'gon', 'na', 'follow', 'them', 'and', 'drop', 'jays', 'car', 'off', '@', 'his', 'house', 'and', 'then', 'meet', 'us', '@', 'lowland', 'park', ',', 'so', 'they', 'dropped', 'us', 'off', 'there', 'and', 'we', 'ran', 'down', 'went', 'on', 'the', 'merry', 'go', 'round', 'and', 'like', 'drank', 'the', 'bottle', 'in', 'like', '2', 'minutes')",3883.0,ADV,"['right', 'allinhity']",0.0573167406978874,1.0,NOUN,"['parents', 'family', 'dad', 'brother', 'car']"
35,friend,friends,0.0001926967915984,0.0062626457269486,2,Hello all you friends out there.,36375,0,3,"('Hello', 'all', 'you', 'friends', 'out', 'there', '.')",10379.0,VERB,"['guys', 'folks', 'kids', 'got', 'friends']",0.0574974897741119,0.9997110383355808,VERB,"['guys', 'fans', 'friends', 'people', 'girls']"
36,friend,friends,0.0001926967915984,0.0062626457269486,2,Dats what friends r 4...,37646,48,2,"('Dats', 'what', 'friends', 'r', '4', '...')",10379.0,PUNCT,"[""',?."", 'a']",0.0574974897741119,0.9997110383355808,PRON,"['you', 'we', 'they', 'it', 'u']"
37,honest,honest,0.0040080160320641,0.002004008016032,2,and i'll honest-to-god think it's the funniest thing in the world when you call the busting-out-of-the-low-riders-and-tank-top girl  jabba the slut .,20496,1,3,"('and', 'i', ""'ll"", 'honest', '-', 'to', '-', 'god', 'think', 'it', ""'s"", 'the', 'funniest', 'thing', 'in', 'the', 'world', 'when', 'you', 'call', 'the', 'busting', '-', 'out', '-', 'of', '-', 'the', '-', 'low', '-', 'riders', '-', 'and', '-', 'tank', '-', 'top', 'girl', ' ', 'jabba', 'the', 'slut', '.')",499.0,VERB,"['honest', 'swear', 'pray', 'go', 'listen']",0.0585245224677413,1.0,VERB,"['-', 'lie', 'go', 'have', 'admit']"
38,honest,honest,0.0040080160320641,0.002004008016032,2,but i stil wanna b honest 2 him..,17758,33,5,"('but', 'i', 'stil', 'wanna', 'b', 'honest', '2', 'him', '..')",499.0,SYM,['##allessashlam'],0.0585245224677413,1.0,VERB,"['close', 'n', 'near', 'special', 'nice']"
39,expense,expensing,0.0073529411764705,0.0,1,"Last night I picked up the check at dinner (dont get too excited, Im expensing it), this morning I stopped at Starbucks and got a latte and slice of banana bread.",7741,6,18,"('Last', 'night', 'I', 'picked', 'up', 'the', 'check', 'at', 'dinner', '(', 'do', 'nt', 'get', 'too', 'excited', ',', 'I', 'm', 'expensing', 'it', ')', ',', 'this', 'morning', 'I', 'stopped', 'at', 'Starbucks', 'and', 'got', 'a', 'latte', 'and', 'slice', 'of', 'banana', 'bread', '.')",136.0,SYM,['##utteruseullunchckoned'],0.0626826530013528,1.0,VERB,"['worth', 'getting', 'paying', 'doing', 'feeling']"
40,unusual,UNUSUAL,0.008,0.0,1,ERRATIC c : being out of the ordinary : UNUSUAL a taste for crazy hats 3 a : distracted with desire or excitement a thrill-crazy mob b : absurdly fond : INFATUATED he's crazy about the girl> c : passionately preoccupied : OBSESSED crazy about    urlLink   boats    .,39409,1,9,"('ERRATIC', 'c', ':', 'being', 'out', 'of', 'the', 'ordinary', ':', 'UNUSUAL', 'a', 'taste', 'for', 'crazy', 'hats', '3', 'a', ':', 'distracted', 'with', 'desire', 'or', 'excitement', 'a', 'thrill', '-', 'crazy', 'mob', 'b', ':', 'absurdly', 'fond', ':', 'INFATUATED', 'he', ""'s"", 'crazy', 'about', 'the', 'girl', '>', 'c', ':', 'passionately', 'preoccupied', ':', 'OBSESSED', 'crazy', 'about', '   ', 'urlLink', '  ', 'boats', '   ', '.')",125.0,VERB,"['having', 'has', 'getting', 'got', 'developing']",0.0672215447583068,1.0,VERB,"['having', 'has', 'with', 'have', 'showing']"
41,distant,distant,0.0081967213114754,0.0,1,"I notice I'm getting weak in faith, and beginning to distant myself from Him again.",34686,22,12,"('I', 'notice', 'I', ""'m"", 'getting', 'weak', 'in', 'faith', ',', 'and', 'beginning', 'to', 'distant', 'myself', 'from', 'Him', 'again', '.')",122.0,PART,"['distance', 'separate', 'shield', 'hide', 'free']",0.0685860940364442,1.0,PART,"['distance', 'separate', 'distract', 'remove', 'withdraw']"
42,ben,bens,0.0015360983102918,0.9923195084485408,1,so this week it was ben. n bens a prick...n an asshole.,17585,16,8,"('so', 'this', 'week', 'it', 'was', 'ben', '.', 'n', 'bens', 'a', 'prick', '...', 'n', 'an', 'asshole', '.')",651.0,PROPN,"["".'just"", 'was', 'n']",0.070534978738177,1.0,PRON,"['what', 'such', 'was', 'he', 'just']"
43,minute,minute,0.0003072196620583,0.0064516129032258,1,punctilious  Strictly attentive to minute details of form in action or conduct.,27302,43,5,"('punctilious', ' ', 'Strictly', 'attentive', 'to', 'minute', 'details', 'of', 'form', 'in', 'action', 'or', 'conduct', '.')",3255.0,DET,"['the', 'all', 'certain', 'specific', 'any']",0.0738865383799109,0.999385937979736,ADJ,"['the', 'all', 'small', 'minor', 'little']"
44,tom,toms,0.0027027027027027,0.991891891891892,1,im a whore jims a whore and toms a slag but your not a whore.,3822,8,8,"('i', 'm', 'a', 'whore', 'jims', 'a', 'whore', 'and', 'toms', 'a', 'slag', 'but', 'your', 'not', 'a', 'whore', '.')",370.0,AUX,"['is', 'you', 'not', 'am', 'yer']",0.0754179340475038,1.0,PRON,"['you', 'is', 'its', 'your', 'i']"
45,excited,excited,0.0022675736961451,0.0060468631897203,3,yea not to excited for that one.,18595,7,3,"('yea', 'not', 'to', 'excited', 'for', 'that', 'one', '.')",1323.0,VERB,"['settle', 'blame', 'fall', 'go', 'ask']",0.0764279452498866,1.0,VERB,"['much', 'bad', 'long', 'worry', 'wait']"
46,excited,excited,0.0022675736961451,0.0060468631897203,3,As you may have seen and heard on the home page there is an Inu Yasha Season 1 Box Set is set to release in September I am not to excited because (between you and me I already own Season 1 the episode 1 - 27).,20401,0,30,"('As', 'you', 'may', 'have', 'seen', 'and', 'heard', 'on', 'the', 'home', 'page', 'there', 'is', 'an', 'Inu', 'Yasha', 'Season', '1', 'Box', 'Set', 'is', 'set', 'to', 'release', 'in', 'September', 'I', 'am', 'not', 'to', 'excited', 'because', '(', 'between', 'you', 'and', 'me', 'I', 'already', 'own', 'Season', '1', 'the', 'episode', '1', '-', '27', ')', '.')",1323.0,VERB,"['go', 'play', 'know', 'be', 'say']",0.0764279452498866,1.0,VERB,"['excited', 'complain', 'much', 'spoiler', 'mention']"
47,excited,excited,0.0022675736961451,0.0060468631897203,3,"I am not to excited about blogging anymore, I have a new site and it's way cooler.",33379,0,4,"('I', 'am', 'not', 'to', 'excited', 'about', 'blogging', 'anymore', ',', 'I', 'have', 'a', 'new', 'site', 'and', 'it', ""'s"", 'way', 'cooler', '.')",1323.0,VERB,"['worry', 'talk', 'think', 'write', 'care']",0.0764279452498866,1.0,VERB,"['worry', 'talk', 'excited', 'serious', 'much']"
48,definition,definition,0.0042372881355932,0.0042372881355932,1,Which brings us to definition #2.... 2.,34299,6,4,"('Which', 'brings', 'us', 'to', 'definition', '#', '2', '....', '2', '.')",236.0,VERB,"['issue', 'page', 'Chapter', 'Question', 'Table']",0.0789763358766011,0.9957805907172996,VERB,"['question', 'Chapter', 'Question', 'point', 'issue']"
49,relationship,relationships,0.0018007202881152,0.0060024009603841,3,"My friend once told me the way to maintain your relationships with people was not to care, so then are they really relationships at all then?",37857,2,23,"('My', 'friend', 'once', 'told', 'me', 'the', 'way', 'to', 'maintain', 'your', 'relationships', 'with', 'people', 'was', 'not', 'to', 'care', ',', 'so', 'then', 'are', 'they', 'really', 'relationships', 'at', 'all', 'then', '?')",1666.0,ADV,"['there', 'caring', 'happy', 'here', 'cared']",0.0792130111542865,1.0,ADJ,"['important', 'friends', 'care', 'there', 'interested']"
50,relationship,relationship,0.0018007202881152,0.0060024009603841,3,"However, pushing aside or neglecting to address real problems is not the answer either, and can be just as harmful to relationship health as dwelling on the negative.",8358,32,23,"('However', ',', 'pushing', 'aside', 'or', 'neglecting', 'to', 'address', 'real', 'problems', 'is', 'not', 'the', 'answer', 'either', ',', 'and', 'can', 'be', 'just', 'as', 'harmful', 'to', 'relationship', 'health', 'as', 'dwelling', 'on', 'the', 'negative', '.')",1666.0,ADJ,"['human', 'public', 'mental', 'your', 'our']",0.0792130111542865,1.0,PRON,"['your', 'our', 'mental', 'overall', 'the']"
51,relationship,relationship,0.0018007202881152,0.0060024009603841,3,I fear it will ruin my daughters relationship with her daughter.,13403,9,7,"('I', 'fear', 'it', 'will', 'ruin', 'my', 'daughters', 'relationship', 'with', 'her', 'daughter', '.')",1666.0,NOUN,"['relationship', 'friendship', 'happiness', 'chances', 'time']",0.0792130111542865,1.0,NOUN,"['relationship', 'friendship', 'relationships', 'life', 'future']"
52,baka,baka,0.0021929824561403,0.9912280701754386,1,"And, love, im sorry about the 'baka' comment i realize it is that same as me saying 'savvy'.",35103,8,10,"('And', ',', 'love', ',', 'i', 'm', 'sorry', 'about', 'the', ""'"", 'baka', ""'"", 'comment', 'i', 'realize', 'it', 'is', 'that', 'same', 'as', 'me', 'saying', ""'"", 'savvy', ""'"", '.')",456.0,ADJ,"['smart', 'nice', 'good', 'cool', 'stupid']",0.0796536577747673,1.0,ADJ,"['smart', 'stupid', 'intelligent', 'mature', 'ignorant']"
53,idea,idea,0.0011730205278592,0.0079178885630498,4,"i have a bunch of old-school photos i swiped from my parents ages and ages ago, with the intentions of doing photo retrospectives (idea blatantly stolen from the lovely and knocked-up  urlLink jenandtonic ), but then the photos sort of sat around for six months.  however!",20513,0,27,"('i', 'have', 'a', 'bunch', 'of', 'old', '-', 'school', 'photos', 'i', 'swiped', 'from', 'my', 'parents', 'ages', 'and', 'ages', 'ago', ',', 'with', 'the', 'intentions', 'of', 'doing', 'photo', 'retrospectives', '(', 'idea', 'blatantly', 'stolen', 'from', 'the', 'lovely', 'and', 'knocked', '-', 'up', ' ', 'urlLink', 'jenandtonic', ')', ',', 'but', 'then', 'the', 'photos', 'sort', 'of', 'sat', 'around', 'for', 'six', 'months', '.', ' ', 'however', '!')",3410.0,PRON,"['some', 'one', 'and', 'all', 'something']",0.0797477750033531,1.0,PRON,"['all', 'photos', 'so', 'images', 'something']"
