lemma,word form,sentence,doc index,sent index
venture,ventured,"Armed with a little bit of information, I ventured in to Sendai to try my luck at a travel agent.",22453,6
venture,venture,Its kinda like having to venture into the Amazon forest alone and finding your own way out again...,21980,34
venture,ventured,Then ventured out into the living room to go online.,1150,8
venture,venture,Have a great life and venture forth with my blessing.,15445,17
venture,venture,Anyone want to venture into business with me?,11077,9
venture,venture,I think I will venture to post my thoughts regarding the literature I am reading.,17012,0
venture,venture,I don't understand how some of the guys just ride road bikes and never venture off road.,37891,2
venture,venture,"So I decided to venture into the world of working out, not only for my health but also for the great quotes ('and lift it, and stretch it, and pump it, and pulse it, you're doing FANTASTIC'",12051,2
venture,venture,"Second Life's Linden Lab has been much more accommodating, but it seems as though Linden is willing to venture into the forefront of digital property rights experimentation; often to a point even I would find uncomfortable.",26212,21
venture,ventured,as i left the champlain islands & ventured further past burlington vermont i get a real glimpse of what this state has to offer.,27155,0
venture,ventured,"I ventured out in a tank-top, through the backyard and the front yard, looking for a trace sign of Tazz.",9255,10
venture,venturing,I think venturing from this planet is the only thing of value that our species can do.,3372,2
venture,venturing,"I wasnt quite sold with that premise as Id think a mouse would choose to die in the plush environs of our apartment versus venturing out into the world for one last adventure, but since we have several senior citizens in our building, this lady gets must get away with such tall tales on a regular basis.",6406,3
venture,ventured,and so I ventured out thinking  that it would be really neat to see Seoul at night from up high,20112,20
venture,venture,"I mean, its a nice spot and all, but there are 10,000 lakes in this great state  why not venture out and make a few new enemies?",6929,10
venture,venturing,"After listening to Sheahnee Lee brag about blogs, and listening to her charming friends at Ash's birthday party some weeks ago, here I am venturing into the world of blogs, with trepidation and excitement.",39908,1
venture,ventured,"From there I ventured out to try other teas, yes with milk.",10982,25
venture,venture,"I have scattered friends that have moved from home to venture for work, and it would be nice to finally visit them for a change.",29039,9
venture,venture,"The few times I venture out into the world where I am required to actually interact with people, it takes me a second or two before I convince myself that I  don't  have a sign on my forehead that says, 'Keep Away.'",15800,0
venture,ventures,"He is first confronted with the conviction of his sin weighing on him, not God’s love, that comes later when he ventures out to get rid of that burden.",16155,15
venture,venturing,"Lately I've started to drop the X-Men books from my subscriptions because I've just been finding better stories in other books (lately even venturing into DC with  Batman ,  Flash ,  Superman/Batman , and  Teen Titans ), but this book was just so frickin'  gooooooooood ...",14984,2
venture,venture,"Remember, if you venture to the staff room in the fourth floor, you have been forwarned!",13766,32
