,Unnamed: 0,lemma,verb form,percent as verb,percent as propn,Count as verb,Sentence,Doc index,Sent index,index of verb,tokenized sentence,total open class,ENSEMBLE tags,ROBERTA POS PREDICTIONS ENSEMBLE,ROBERTA REPLACEMENTS
17,17,ne,ned,0.005263158,0.994736842,1,"Gestern sind meine Mum und ich direkt nach der Schule nach nem Rock schauen gegangen und...ich hatte mich in der Schule schon ned so gut gefuehlt (mein Ruecken tat/tut voll weh),",23347,0,24,"('Gestern', 'sind', 'meine', 'Mum', 'und', 'ich', 'direkt', 'nach', 'der', 'Schule', 'nach', 'nem', 'Rock', 'schauen', 'gegangen', 'und', '...', 'ich', 'hatte', 'mich', 'in', 'der', 'Schule', 'schon', 'ned', 'so', 'gut', 'gefuehlt', '(', 'mein', 'Ruecken', 'tat', '/', 'tut', 'voll', 'weh', ')', ',')",190,INTJ,INTJ,"['nicht', 'nie', 'wieder', 'mal', 'halb']"
18,18,sa,sa,0.001246883,0.995012469,1,so i went around teh school and sa them,21954,9,7,"('so', 'i', 'went', 'around', 'teh', 'school', 'and', 'sa', 'them')",802,INTJ,VERB,"['saw', 'asked', 'found', 'knew', 'met']"
19,19,comments,COMMENTS,0.005698006,0.994301994,2,COMMENTS SECTION...,9382,1,0,"('COMMENTS', 'SECTION', '...')",351,NOUN,NUM,"['...', 'THE', '2', '3', '5']"
20,20,comments,COMMENTs,0.005698006,0.994301994,2,lol not that anyone COMMENTs....,15142,27,4,"('lol', 'not', 'that', 'anyone', 'COMMENTs', '....')",351,NOUN,VERB,"['has', 'knows', 'will', 'ever', 'would']"
21,21,direction,direction,0.001727116,0.003454231,1,and i'm falling into the crevice no matter which direction its going.,12695,4,10,"('and', 'i', ""'m"", 'falling', 'into', 'the', 'crevice', 'no', 'matter', 'which', 'direction', 'its', 'going', '.')",579,NOUN,DET,"['way', 'direction', 'side', 'route', 'path']"
22,22,pleased,pleased,0.005847953,0,1,So his wife was not to pleased with him either.,38379,7,6,"('So', 'his', 'wife', 'was', 'not', 'to', 'pleased', 'with', 'him', 'either', '.')",171,ADJ,VERB,"['agree', 'stay', 'live', 'be', 'ying']"
23,23,habit,habit,0.002590674,0.002590674,1,"Other days I would drape a towel over my hair and, instead of pretending it was long flowing locks, would imagine myself in a nuns habit.",4424,4,27,"('Other', 'days', 'I', 'would', 'drape', 'a', 'towel', 'over', 'my', 'hair', 'and', ',', 'instead', 'of', 'pretending', 'it', 'was', 'long', 'flowing', 'locks', ',', 'would', 'imagine', 'myself', 'in', 'a', 'nuns', 'habit', '.')",386,NOUN,NOUN,"['dress', 'robe', 'outfit', 'clothing', 'clothes']"
24,24,del,del,0.005882353,0.994117647,1,"on a particular day u del me from GunBound and den a sudden change of attitude, tell u hor, wat i do?",27024,5,5,"('on', 'a', 'particular', 'day', 'u', 'del', 'me', 'from', 'GunBound', 'and', 'den', 'a', 'sudden', 'change', 'of', 'attitude', ',', 'tell', 'u', 'hor', ',', 'wat', 'i', 'do', '?')",170,PROPN,VERB,"['saw', 'called', 'see', 'sent', 'call']"
25,25,conversation,conversation,0.000790514,0.004743083,1,Then I went to thoughts of Kay and then I came back to the world and my friends conversation.,36597,27,18,"('Then', 'I', 'went', 'to', 'thoughts', 'of', 'Kay', 'and', 'then', 'I', 'came', 'back', 'to', 'the', 'world', 'and', 'my', 'friends', 'conversation', '.')",1265,NOUN,ADV,"['.', 'again', 'too', '...', 'back']"
26,26,people,people,5.76E-05,0.005878624,1,"All you HCT people out there, if you have Jacki's phone number, let me know.",23433,12,3,"('All', 'you', 'HCT', 'people', 'out', 'there', ',', 'if', 'you', 'have', 'Jacki', ""'s"", 'phone', 'number', ',', 'let', 'me', 'know', '.')",17351,NOUN,NOUN,"['s', 'fans', 'members', 'folks', 'people']"
27,27,same,Samed,0.000604473,0.001208946,3,"I get to Samed on Sat's noon, It so hot but funny and happy, with my ex colleager and my bf, about 20 peoples, WOW!!!",32436,4,3,"('I', 'get', 'to', 'Samed', 'on', 'Sat', ""'s"", 'noon', ',', 'It', 'so', 'hot', 'but', 'funny', 'and', 'happy', ',', 'with', 'my', 'ex', 'colleager', 'and', 'my', 'bf', ',', 'about', '20', 'peoples', ',', 'WOW', '!', '!', '!')",4963,PROPN,VERB,"['go', 'work', 'it', 'party', 'be']"
28,28,same,Samed,0.000604473,0.001208946,3,I just back from  Samed .,32436,1,5,"('I', 'just', 'back', 'from', ' ', 'Samed', '.')",4963,PROPN,NOUN,"['work', 'London', 'vacation', 'Paris', 'school']"
29,29,same,samed,0.000604473,0.001208946,3,"Afternoon i had lunch with Myy and Keth (myy's colleager) at 'Swiss Cafe' on Silom road, and then i went to see my friend who i went to samed on last week.",32435,7,34,"('Afternoon', 'i', 'had', 'lunch', 'with', 'Myy', 'and', 'Keth', '(', 'myy', ""'s"", 'colleager', ')', 'at', ""'"", 'Swiss', 'Cafe', ""'"", 'on', 'Silom', 'road', ',', 'and', 'then', 'i', 'went', 'to', 'see', 'my', 'friend', 'who', 'i', 'went', 'to', 'samed', 'on', 'last', 'week', '.')",4963,VERB,VERB,"['check', 'work', 'meet', 'sleep', 'lunch']"
30,30,way,Way,0.000348371,0.005922313,4,"Over the rainbow Way up high There's a land that I heard of Once, In a lullaby  Somewhere over the rainbow Skies are blue And the dreams that you dare to dream Really do come true",22277,1,3,"('Over', 'the', 'rainbow', 'Way', 'up', 'high', 'There', ""'s"", 'a', 'land', 'that', 'I', 'heard', 'of', 'Once', ',', 'In', 'a', 'lullaby', ' ', 'Somewhere', 'over', 'the', 'rainbow', 'Skies', 'are', 'blue', 'And', 'the', 'dreams', 'that', 'you', 'dare', 'to', 'dream', 'Really', 'do', 'come', 'true')",11482,NOUN,PUNCT,"[',', 'Far', 'Way', 'And', 'High']"
31,31,way,way,0.000348371,0.005922313,4,"Personally, I have never been the biggest fan of the gym, to me I would way rather play a sport than sit on a cycle or run on a treadmill like a hamster.",15961,6,17,"('Personally', ',', 'I', 'have', 'never', 'been', 'the', 'biggest', 'fan', 'of', 'the', 'gym', ',', 'to', 'me', 'I', 'would', 'way', 'rather', 'play', 'a', 'sport', 'than', 'sit', 'on', 'a', 'cycle', 'or', 'run', 'on', 'a', 'treadmill', 'like', 'a', 'hamster', '.')",11482,VERB,ADV,"['much', 'always', 'just', 'far', 'actually']"
32,32,way,ways,0.000348371,0.005922313,4,I just got back from the PHPC youth website commitee (i started this extravagant adventrue when i told steve about my idea lol ) ne ways its a fun process this website will be available for everyone!,30274,1,26,"('I', 'just', 'got', 'back', 'from', 'the', 'PHPC', 'youth', 'website', 'commitee', '(', 'i', 'started', 'this', 'extravagant', 'adventrue', 'when', 'i', 'told', 'steve', 'about', 'my', 'idea', 'lol', ')', 'ne', 'ways', 'its', 'a', 'fun', 'process', 'this', 'website', 'will', 'be', 'available', 'for', 'everyone', '!')",11482,NOUN,SCONJ,"['if', 'though', 'hope', 'after', 'think']"
33,33,way,way,0.000348371,0.005922313,4,"if happy little bluebirds fly Beyond the rainbow way up high Why, Ohhhhh why can't I?",22277,9,8,"('if', 'happy', 'little', 'bluebirds', 'fly', 'Beyond', 'the', 'rainbow', 'way', 'up', 'high', 'Why', ',', 'Ohhhhh', 'why', 'ca', ""n't"", 'I', '?')",11482,NOUN,ADV,"['s', ',', 'and', 'high', 'far']"
34,34,car,car,0.000257533,0.005665722,1,"Then Jay hadda get the car back and they ran into there friend who was like gonna follow them and drop jays car off @ his house and then meet us @ lowland park, so they dropped us off there and we ran down went on the merry go round and like drank the bottle in like 2 minutes",17555,54,23,"('Then', 'Jay', 'hadda', 'get', 'the', 'car', 'back', 'and', 'they', 'ran', 'into', 'there', 'friend', 'who', 'was', 'like', 'gon', 'na', 'follow', 'them', 'and', 'drop', 'jays', 'car', 'off', '@', 'his', 'house', 'and', 'then', 'meet', 'us', '@', 'lowland', 'park', ',', 'so', 'they', 'dropped', 'us', 'off', 'there', 'and', 'we', 'ran', 'down', 'went', 'on', 'the', 'merry', 'go', 'round', 'and', 'like', 'drank', 'the', 'bottle', 'in', 'like', '2', 'minutes')",3883,NOUN,NOUN,"['parents', 'family', 'dad', 'brother', 'car']"
35,35,friend,friends,0.000192697,0.006262646,2,Hello all you friends out there.,36375,0,3,"('Hello', 'all', 'you', 'friends', 'out', 'there', '.')",10379,NOUN,NOUN,"['guys', 'fans', 'friends', 'people', 'girls']"
36,36,friend,friends,0.000192697,0.006262646,2,Dats what friends r 4...,37646,48,2,"('Dats', 'what', 'friends', 'r', '4', '...')",10379,NOUN,PRON,"['you', 'we', 'they', 'it', 'u']"
37,37,honest,honest,0.004008016,0.002004008,2,and i'll honest-to-god think it's the funniest thing in the world when you call the busting-out-of-the-low-riders-and-tank-top girl  jabba the slut .,20496,1,3,"('and', 'i', ""'ll"", 'honest', '-', 'to', '-', 'god', 'think', 'it', ""'s"", 'the', 'funniest', 'thing', 'in', 'the', 'world', 'when', 'you', 'call', 'the', 'busting', '-', 'out', '-', 'of', '-', 'the', '-', 'low', '-', 'riders', '-', 'and', '-', 'tank', '-', 'top', 'girl', ' ', 'jabba', 'the', 'slut', '.')",499,ADJ,VERB,"['-', 'lie', 'go', 'have', 'admit']"
38,38,honest,honest,0.004008016,0.002004008,2,but i stil wanna b honest 2 him..,17758,33,5,"('but', 'i', 'stil', 'wanna', 'b', 'honest', '2', 'him', '..')",499,ADJ,ADJ,"['close', 'n', 'near', 'special', 'nice']"
39,39,expense,expensing,0.007352941,0,1,"Last night I picked up the check at dinner (dont get too excited, Im expensing it), this morning I stopped at Starbucks and got a latte and slice of banana bread.",7741,6,18,"('Last', 'night', 'I', 'picked', 'up', 'the', 'check', 'at', 'dinner', '(', 'do', 'nt', 'get', 'too', 'excited', ',', 'I', 'm', 'expensing', 'it', ')', ',', 'this', 'morning', 'I', 'stopped', 'at', 'Starbucks', 'and', 'got', 'a', 'latte', 'and', 'slice', 'of', 'banana', 'bread', '.')",136,VERB,VERB,"['worth', 'getting', 'paying', 'doing', 'feeling']"
40,40,unusual,UNUSUAL,0.008,0,1,ERRATIC c : being out of the ordinary : UNUSUAL a taste for crazy hats 3 a : distracted with desire or excitement a thrill-crazy mob b : absurdly fond : INFATUATED he's crazy about the girl> c : passionately preoccupied : OBSESSED crazy about    urlLink   boats    .,39409,1,9,"('ERRATIC', 'c', ':', 'being', 'out', 'of', 'the', 'ordinary', ':', 'UNUSUAL', 'a', 'taste', 'for', 'crazy', 'hats', '3', 'a', ':', 'distracted', 'with', 'desire', 'or', 'excitement', 'a', 'thrill', '-', 'crazy', 'mob', 'b', ':', 'absurdly', 'fond', ':', 'INFATUATED', 'he', ""'s"", 'crazy', 'about', 'the', 'girl', '>', 'c', ':', 'passionately', 'preoccupied', ':', 'OBSESSED', 'crazy', 'about', '   ', 'urlLink', '  ', 'boats', '   ', '.')",125,ADJ,VERB,"['having', 'has', 'with', 'have', 'showing']"
41,41,distant,distant,0.008196721,0,1,"I notice I'm getting weak in faith, and beginning to distant myself from Him again.",34686,22,12,"('I', 'notice', 'I', ""'m"", 'getting', 'weak', 'in', 'faith', ',', 'and', 'beginning', 'to', 'distant', 'myself', 'from', 'Him', 'again', '.')",122,VERB,PART,"['distance', 'separate', 'distract', 'remove', 'withdraw']"
42,42,ben,bens,0.001536098,0.992319508,1,so this week it was ben. n bens a prick...n an asshole.,17585,16,8,"('so', 'this', 'week', 'it', 'was', 'ben', '.', 'n', 'bens', 'a', 'prick', '...', 'n', 'an', 'asshole', '.')",651,NOUN,DET,"['what', 'such', 'was', 'he', 'just']"
43,43,minute,minute,0.00030722,0.006451613,1,punctilious  Strictly attentive to minute details of form in action or conduct.,27302,43,5,"('punctilious', ' ', 'Strictly', 'attentive', 'to', 'minute', 'details', 'of', 'form', 'in', 'action', 'or', 'conduct', '.')",3255,NOUN,ADJ,"['the', 'all', 'small', 'minor', 'little']"
44,44,tom,toms,0.002702703,0.991891892,1,im a whore jims a whore and toms a slag but your not a whore.,3822,8,8,"('i', 'm', 'a', 'whore', 'jims', 'a', 'whore', 'and', 'toms', 'a', 'slag', 'but', 'your', 'not', 'a', 'whore', '.')",370,NOUN,PRON,"['you', 'is', 'its', 'your', 'i']"
45,45,excited,excited,0.002267574,0.006046863,3,yea not to excited for that one.,18595,7,3,"('yea', 'not', 'to', 'excited', 'for', 'that', 'one', '.')",1323,ADJ,ADJ,"['much', 'bad', 'long', 'worry', 'wait']"
46,46,excited,excited,0.002267574,0.006046863,3,As you may have seen and heard on the home page there is an Inu Yasha Season 1 Box Set is set to release in September I am not to excited because (between you and me I already own Season 1 the episode 1 - 27).,20401,0,30,"('As', 'you', 'may', 'have', 'seen', 'and', 'heard', 'on', 'the', 'home', 'page', 'there', 'is', 'an', 'Inu', 'Yasha', 'Season', '1', 'Box', 'Set', 'is', 'set', 'to', 'release', 'in', 'September', 'I', 'am', 'not', 'to', 'excited', 'because', '(', 'between', 'you', 'and', 'me', 'I', 'already', 'own', 'Season', '1', 'the', 'episode', '1', '-', '27', ')', '.')",1323,ADJ,VERB,"['excited', 'complain', 'much', 'spoiler', 'mention']"
47,47,excited,excited,0.002267574,0.006046863,3,"I am not to excited about blogging anymore, I have a new site and it's way cooler.",33379,0,4,"('I', 'am', 'not', 'to', 'excited', 'about', 'blogging', 'anymore', ',', 'I', 'have', 'a', 'new', 'site', 'and', 'it', ""'s"", 'way', 'cooler', '.')",1323,ADJ,ADJ,"['worry', 'talk', 'excited', 'serious', 'much']"
48,48,definition,definition,0.004237288,0.004237288,1,Which brings us to definition #2.... 2.,34299,6,4,"('Which', 'brings', 'us', 'to', 'definition', '#', '2', '....', '2', '.')",236,NOUN,NOUN,"['question', 'Chapter', 'Question', 'point', 'issue']"
49,49,relationship,relationships,0.00180072,0.006002401,3,"My friend once told me the way to maintain your relationships with people was not to care, so then are they really relationships at all then?",37857,2,23,"('My', 'friend', 'once', 'told', 'me', 'the', 'way', 'to', 'maintain', 'your', 'relationships', 'with', 'people', 'was', 'not', 'to', 'care', ',', 'so', 'then', 'are', 'they', 'really', 'relationships', 'at', 'all', 'then', '?')",1666,NOUN,ADJ,"['important', 'friends', 'care', 'there', 'interested']"
50,50,relationship,relationship,0.00180072,0.006002401,3,"However, pushing aside or neglecting to address real problems is not the answer either, and can be just as harmful to relationship health as dwelling on the negative.",8358,32,23,"('However', ',', 'pushing', 'aside', 'or', 'neglecting', 'to', 'address', 'real', 'problems', 'is', 'not', 'the', 'answer', 'either', ',', 'and', 'can', 'be', 'just', 'as', 'harmful', 'to', 'relationship', 'health', 'as', 'dwelling', 'on', 'the', 'negative', '.')",1666,NOUN,PRON,"['your', 'our', 'mental', 'overall', 'the']"
51,51,relationship,relationship,0.00180072,0.006002401,3,I fear it will ruin my daughters relationship with her daughter.,13403,9,7,"('I', 'fear', 'it', 'will', 'ruin', 'my', 'daughters', 'relationship', 'with', 'her', 'daughter', '.')",1666,NOUN,NOUN,"['relationship', 'friendship', 'relationships', 'life', 'future']"
52,52,baka,baka,0.002192982,0.99122807,1,"And, love, im sorry about the 'baka' comment i realize it is that same as me saying 'savvy'.",35103,8,10,"('And', ',', 'love', ',', 'i', 'm', 'sorry', 'about', 'the', ""'"", 'baka', ""'"", 'comment', 'i', 'realize', 'it', 'is', 'that', 'same', 'as', 'me', 'saying', ""'"", 'savvy', ""'"", '.')",456,NOUN,ADJ,"['smart', 'stupid', 'intelligent', 'mature', 'ignorant']"
53,53,idea,idea,0.001173021,0.007917889,4,"i have a bunch of old-school photos i swiped from my parents ages and ages ago, with the intentions of doing photo retrospectives (idea blatantly stolen from the lovely and knocked-up  urlLink jenandtonic ), but then the photos sort of sat around for six months.  however!",20513,0,27,"('i', 'have', 'a', 'bunch', 'of', 'old', '-', 'school', 'photos', 'i', 'swiped', 'from', 'my', 'parents', 'ages', 'and', 'ages', 'ago', ',', 'with', 'the', 'intentions', 'of', 'doing', 'photo', 'retrospectives', '(', 'idea', 'blatantly', 'stolen', 'from', 'the', 'lovely', 'and', 'knocked', '-', 'up', ' ', 'urlLink', 'jenandtonic', ')', ',', 'but', 'then', 'the', 'photos', 'sort', 'of', 'sat', 'around', 'for', 'six', 'months', '.', ' ', 'however', '!')",3410,NOUN,ADV,"['all', 'photos', 'so', 'images', 'something']"
54,54,idea,idea,0.001173021,0.007917889,4,If RAGBRAI sounds like you idea of a good time check it out.,37873,31,5,"('If', 'RAGBRAI', 'sounds', 'like', 'you', 'idea', 'of', 'a', 'good', 'time', 'check', 'it', 'out', '.')",3410,NOUN,VERB,"['dream', 'think', 'kind', 'want', 'need']"
55,55,idea,idea,0.001173021,0.007917889,4,"Not sure what I'm going to do here yet, but one I idea I have tossed around is having Ash play bass over this part for a different feel.",8670,4,14,"('Not', 'sure', 'what', 'I', ""'m"", 'going', 'to', 'do', 'here', 'yet', ',', 'but', 'one', 'I', 'idea', 'I', 'have', 'tossed', 'around', 'is', 'having', 'Ash', 'play', 'bass', 'over', 'this', 'part', 'for', 'a', 'different', 'feel', '.')",3410,NOUN,PRON,"['think', 'thought', 'guess', 'know', 'idea']"
56,56,idea,idea,0.001173021,0.007917889,4,"I've actually been journaling and reveling in the anonymity for awhile on this blog and others, but reading Jared's blog last week convinced me that the whole I idea of *linked* texts created a much more substantial, important way of being in the cyberworld.",12563,2,31,"('I', ""'ve"", 'actually', 'been', 'journaling', 'and', 'reveling', 'in', 'the', 'anonymity', 'for', 'awhile', 'on', 'this', 'blog', 'and', 'others', ',', 'but', 'reading', 'Jared', ""'s"", 'blog', 'last', 'week', 'convinced', 'me', 'that', 'the', 'whole', 'I', 'idea', 'of', '*', 'linked', '*', 'texts', 'created', 'a', 'much', 'more', 'substantial', ',', 'important', 'way', 'of', 'being', 'in', 'the', 'cyberworld', '.')",3410,NOUN,PRON,"['DEA', 'con', 'vy', 'TEM', 'dle']"
57,57,role,role,0.007194245,0.001798561,4,i hear from some i care too much...that i need to go w/ the flow and just let things role off my back...that i let things get to me too easily,1342,4,21,"('i', 'hear', 'from', 'some', 'i', 'care', 'too', 'much', '...', 'that', 'i', 'need', 'to', 'go', 'w/', 'the', 'flow', 'and', 'just', 'let', 'things', 'role', 'off', 'my', 'back', '...', 'that', 'i', 'let', 'things', 'get', 'to', 'me', 'too', 'easily')",556,VERB,VERB,"['fall', 'roll', 'get', 'slide', 'slip']"
58,58,role,Role,0.007194245,0.001798561,4,"Role Playing Game,",11591,15,0,"('Role', 'Playing', 'Game', ',')",556,NOUN,ADJ,"['Free', 'Long', 'Online', 'Board', '</s>']"
59,59,role,role,0.007194245,0.001798561,4,"American and British soldiers, albeit a minority of them have behaved terribly and individually they should be punished, but at the very top heads must role for these despicable war crimes.",15864,1,27,"('American', 'and', 'British', 'soldiers', ',', 'albeit', 'a', 'minority', 'of', 'them', 'have', 'behaved', 'terribly', 'and', 'individually', 'they', 'should', 'be', 'punished', ',', 'but', 'at', 'the', 'very', 'top', 'heads', 'must', 'role', 'for', 'these', 'despicable', 'war', 'crimes', '.')",556,VERB,VERB,"['pay', 'suffer', 'die', 'account', 'answer']"
60,60,role,roling,0.007194245,0.001798561,4,"Peace and remember, keep those cards and letters roling in... mike@vinterus.com www.vinterus.com www.winerescue.com",21905,81,9,"('Peace', 'and', 'remember', ',', 'keep', 'those', 'cards', 'and', 'letters', 'roling', 'in', '...', 'mike@vinterus.com', 'www.vinterus.com', 'www.winerescue.com')",556,VERB,VERB,"['coming', 'going', 'all', 'sent', 'posted']"
61,61,mga,mga,0.004464286,0.991071429,1,"Buti pa sila, may mga one-liner, ako talaga, wala.",15783,26,5,"('Buti', 'pa', 'sila', ',', 'may', 'mga', 'one', '-', 'liner', ',', 'ako', 'talaga', ',', 'wala', '.')",224,PROPN,VERB,"['maging', 'ako', 'may', 'lang', 'ka']"
62,62,ticket,ticketed,0.002621232,0.00655308,2,"But if you are going to have a multi-tiered ticketed event, with multiple banks of metal detectors, individual searches of attendees, even to the extent of not allowing umbrellas into the rally, then YOU HAD BETTER DO IT FOR ALL THE ATTENDEES.",34071,8,11,"('But', 'if', 'you', 'are', 'going', 'to', 'have', 'a', 'multi', '-', 'tiered', 'ticketed', 'event', ',', 'with', 'multiple', 'banks', 'of', 'metal', 'detectors', ',', 'individual', 'searches', 'of', 'attendees', ',', 'even', 'to', 'the', 'extent', 'of', 'not', 'allowing', 'umbrellas', 'into', 'the', 'rally', ',', 'then', 'YOU', 'HAD', 'BETTER', 'DO', 'IT', 'FOR', 'ALL', 'THE', 'ATTENDEES', '.')",763,VERB,NOUN,"['security', 'police', 'safety', 'rally', 'enforcement']"
